id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
299340,7,SavedShot,0.860999984741211,0.5270000076293946,0.06962724030017853,Neymar,h,2099,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Dani Alves,Cross
299341,8,MissedShots,0.7219999694824218,0.49,0.01572597213089466,Leandro Paredes,h,1248,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Juan Bernat,Pass
299342,9,BlockedShot,0.92,0.615,0.10898074507713318,Ángel Di María,h,3553,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Neymar,Pass
299344,16,BlockedShot,0.71,0.6819999694824219,0.013051340356469154,Leandro Paredes,h,1248,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Marco Verratti,Pass
299345,18,SavedShot,0.8680000305175781,0.375,0.06340466439723969,Ángel Di María,h,3553,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,None
299346,23,SavedShot,0.8809999847412109,0.7609999847412109,0.029053743928670883,Ángel Di María,h,3553,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Neymar,Pass
299347,28,MissedShots,0.905,0.735,0.036791250109672546,Ángel Di María,h,3553,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Presnel Kimpembe,Pass
299349,37,BlockedShot,0.7869999694824219,0.5779999923706055,0.09872578829526901,Neymar,h,2099,DirectFreekick,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,Standard
299350,38,MissedShots,0.8680000305175781,0.5270000076293946,0.3579282760620117,Edinson Cavani,h,3294,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,None
299352,41,MissedShots,0.8580000305175781,0.725999984741211,0.03348949924111366,Ángel Di María,h,3553,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Neymar,Pass
299354,47,MissedShots,0.7290000152587891,0.4,0.014167044311761856,Leandro Paredes,h,1248,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,None
299356,56,BlockedShot,0.88,0.6990000152587891,0.046885110437870026,Ángel Di María,h,3553,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Neymar,Pass
299358,59,Goal,0.885,0.5,0.7600951194763184,Neymar,h,2099,Penalty,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,Standard
299361,76,BlockedShot,0.8490000152587891,0.2670000076293945,0.024394940584897995,Ángel Di María,h,3553,SetPiece,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Dani Alves,Pass
299362,82,MissedShots,0.88,0.605999984741211,0.056238409131765366,Moussa Diaby,h,6556,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Dani Alves,Cross
299363,92,SavedShot,0.885,0.5,0.7600951194763184,Edinson Cavani,h,3294,Penalty,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,Standard
299364,97,MissedShots,0.7630000305175781,0.4279999923706055,0.07432913035154343,Neymar,h,2099,DirectFreekick,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,Standard
299343,13,MissedShots,0.735999984741211,0.3189999961853027,0.042606156319379807,Malang Sarr,a,5648,DirectFreekick,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,Standard
299348,34,SavedShot,0.7480000305175781,0.48400001525878905,0.020449379459023476,Adrien Tameze,a,5996,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Ignatius Ganago,Pass
299351,41,BlockedShot,0.875,0.3160000038146973,0.1332618147134781,Youcef Atal,a,6878,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Allan Saint-Maximin,TakeOn
299353,45,Goal,0.8830000305175781,0.6719999694824219,0.05697979778051376,Ignatius Ganago,a,6238,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Dante,Chipped
299355,54,MissedShots,0.7609999847412109,0.515,0.017474306747317314,Youcef Atal,a,6878,SetPiece,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,,None
299357,57,ShotOnPost,0.955999984741211,0.54,0.7018609642982483,Allan Saint-Maximin,a,101,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Youcef Atal,Pass
299359,71,MissedShots,0.86,0.7440000152587891,0.030476948246359825,Allan Saint-Maximin,a,101,OpenPlay,2018,RightFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Malang Sarr,Pass
299360,71,BlockedShot,0.94,0.6780000305175782,0.06832811236381531,Jean-Victor Makengo,a,3536,OpenPlay,2018,LeftFoot,10983,Paris Saint Germain,Nice,1,1,2019-05-04 16:00:00,Youcef Atal,Pass
