Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2016-05-12 18:00:00,2570,183,Spartak Moscow,198,Ural,1,0,,,0.919286,0.38505
2016-05-16 20:30:00,2580,183,Spartak Moscow,188,FK Akhmat,3,0,,,1.66792,0.638148
2016-05-21 14:30:00,2584,183,Spartak Moscow,184,FC Ufa,1,3,,,1.01851,1.94832
2016-07-31 19:00:00,2593,183,Spartak Moscow,200,Arsenal Tula,4,0,,,1.96655,0.801512
2016-08-08 20:30:00,2604,183,Spartak Moscow,194,Krylya Sovetov Samara,1,0,,,2.29214,0.212558
2016-08-13 21:30:00,2608,183,Spartak Moscow,186,Rubin Kazan,1,1,,,0.436448,0.824549
2016-08-21 19:00:00,2618,183,Spartak Moscow,196,FC Krasnodar,2,0,,,1.52985,0.615712
2016-08-28 22:30:00,2628,183,Spartak Moscow,193,Anzhi Makhachkala,2,0,,,1.94536,1.10356
2016-09-11 17:30:00,2634,183,Spartak Moscow,192,Lokomotiv Moscow,1,0,,,0.694676,0.552429
2016-09-16 18:00:00,2637,183,Spartak Moscow,199,FC Orenburg,3,1,,,0.733279,1.13048
2016-09-25 18:00:00,2649,183,Spartak Moscow,184,FC Ufa,0,1,,,1.29097,1.00118
2016-10-02 17:30:00,2658,183,Spartak Moscow,189,Zenit St. Petersburg,2,4,,,1.27448,3.22068
2016-10-15 20:30:00,2664,183,Spartak Moscow,187,FC Rostov,1,0,,,1.1701,0.885809
2016-10-22 18:00:00,2672,183,Spartak Moscow,198,Ural,1,0,,,0.24217,0.455802
2016-10-29 19:00:00,2962,183,Spartak Moscow,185,CSKA Moscow,3,1,,,1.05709,1.3646
2016-11-05 12:00:00,2717,183,Spartak Moscow,201,Tom Tomsk,1,0,,,0.759305,0.281579
2016-11-20 18:00:00,2730,183,Spartak Moscow,195,Amkar,1,0,,,0.780001,0.0454105
2016-11-26 19:00:00,2737,183,Spartak Moscow,188,FK Akhmat,1,0,,,0.240366,0.702234
2016-12-01 19:00:00,3270,183,Spartak Moscow,194,Krylya Sovetov Samara,0,4,,,0.700589,2.37564
2016-12-05 20:30:00,3279,183,Spartak Moscow,186,Rubin Kazan,2,1,,,1.353,0.87465
2017-03-05 13:30:00,4295,183,Spartak Moscow,196,FC Krasnodar,2,2,,,0.88513,1.04975
2017-03-12 13:30:00,4305,183,Spartak Moscow,193,Anzhi Makhachkala,1,0,,,1.5351,0.442768
2017-03-18 13:30:00,4311,183,Spartak Moscow,192,Lokomotiv Moscow,1,1,,,0.633868,0.346391
2017-04-03 17:30:00,4324,183,Spartak Moscow,199,FC Orenburg,3,2,,,1.34167,1.2491
