id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
6417,True,186,Rubin Kazan,RUB,183,Spartak Moscow,SPA,0,4,1.19659,2.19129,2014-08-01 17:00:00,0.131,0.2141,0.6549
6418,True,198,Ural,URA,191,Mordovya,MOR,2,3,1.15656,2.15557,2014-08-02 13:30:00,0.1037,0.2411,0.6552
6419,True,200,Arsenal Tula,ARS,189,Zenit St. Petersburg,ZEN,0,4,0.767575,2.48554,2014-08-02 16:00:00,0.0623,0.133,0.8047
6420,True,185,CSKA Moscow,CSK,211,Torpedo Moscow,TOR,4,1,3.13827,0.578158,2014-08-02 18:30:00,0.9202,0.0655,0.0143
6421,True,190,Dinamo Moscow,DIN,187,FC Rostov,ROS,7,3,4.81401,0.600496,2014-08-03 13:30:00,0.9906,0.0081,0.0013
6422,True,197,Kuban Krasnodar,KUB,184,FC Ufa,UFA,2,0,2.04538,0.0390915,2014-08-03 16:30:00,0.9043,0.0918,0.0039
6423,True,192,Lokomotiv Moscow,LOK,196,FC Krasnodar,KRA,0,0,0.793814,0.733761,2014-08-03 18:30:00,0.3275,0.3729,0.2996
6424,True,188,FK Akhmat,AKH,195,Amkar,AMK,4,0,2.1776,0.325138,2014-08-04 17:00:00,0.8545,0.1168,0.0287
6425,True,195,Amkar,AMK,184,FC Ufa,UFA,0,1,0.360411,0.190173,2014-08-08 15:00:00,0.2573,0.6102,0.1325
6426,True,197,Kuban Krasnodar,KUB,187,FC Rostov,ROS,2,2,2.05495,0.382065,2014-08-08 17:30:00,0.8465,0.1234,0.0301
6427,True,191,Mordovya,MOR,185,CSKA Moscow,CSK,0,1,0.435517,1.54445,2014-08-09 10:30:00,0.0675,0.212,0.7205
6428,True,189,Zenit St. Petersburg,ZEN,211,Torpedo Moscow,TOR,8,1,5.27931,0.971363,2014-08-09 14:00:00,0.9909,0.0082,0.0009
6429,True,188,FK Akhmat,AKH,186,Rubin Kazan,RUB,1,1,0.427576,0.695471,2014-08-09 17:00:00,0.1936,0.4245,0.3819
6430,True,190,Dinamo Moscow,DIN,183,Spartak Moscow,SPA,1,2,0.470186,1.2314,2014-08-10 10:30:00,0.0869,0.2608,0.6523
6431,True,198,Ural,URA,196,FC Krasnodar,KRA,1,1,0.537186,1.05965,2014-08-10 13:30:00,0.1418,0.3182,0.54
6432,True,200,Arsenal Tula,ARS,192,Lokomotiv Moscow,LOK,0,2,0.793735,2.19601,2014-08-10 16:30:00,0.0966,0.1751,0.7283
6433,True,211,Torpedo Moscow,TOR,195,Amkar,AMK,1,1,0.954046,0.617434,2014-08-12 17:00:00,0.4241,0.3598,0.2161
6434,True,184,FC Ufa,UFA,190,Dinamo Moscow,DIN,0,2,1.29986,1.15316,2014-08-13 12:00:00,0.3854,0.3201,0.2945
6435,True,198,Ural,URA,189,Zenit St. Petersburg,ZEN,1,2,0.501385,1.36352,2014-08-13 14:30:00,0.1116,0.2704,0.618
6436,True,200,Arsenal Tula,ARS,186,Rubin Kazan,RUB,0,0,1.25115,0.75607,2014-08-13 17:00:00,0.4954,0.2998,0.2048
6437,True,185,CSKA Moscow,CSK,188,FK Akhmat,AKH,1,0,1.16511,1.12884,2014-08-13 17:00:00,0.3471,0.3156,0.3373
6438,True,192,Lokomotiv Moscow,LOK,187,FC Rostov,ROS,2,1,1.13475,1.13306,2014-08-14 15:30:00,0.3257,0.3382,0.3361
