-2.9,-2.8,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
100%,,0%,100%,0%,0%,100%,0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,0%,0%,100%,100%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,100%,0%,0%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,0%,100%,100%,100%,0%,0%,0%,100%,100%,0%,100%,100%,100%,100%
50%,,0%,100%,0%,0%,100%,50%,50%,100%,50%,0%,50%,0%,0%,0%,50%,0%,0%,50%,50%,100%,0%,50%,0%,0%,0%,100%,0%,50%,100%,0%,50%,0%,0%,50%,50%,50%,100%,50%,100%,0%,50%,50%,100%,50%,50%,100%,50%,50%,50%,0%,50%,50%,0%,100%,100%,100%,50%
,,0%,67%,0%,33%,100%,67%,33%,100%,33%,33%,33%,0%,33%,0%,67%,0%,33%,67%,67%,100%,33%,33%,33%,0%,0%,100%,0%,67%,67%,33%,33%,0%,0%,33%,67%,33%,67%,33%,67%,33%,67%,67%,67%,33%,33%,100%,67%,67%,33%,33%,33%,67%,33%,67%,100%,,
,,0%,,0%,25%,75%,50%,50%,75%,25%,25%,25%,25%,25%,0%,75%,25%,25%,75%,50%,75%,25%,25%,25%,0%,25%,75%,25%,75%,75%,25%,25%,25%,25%,50%,50%,50%,75%,25%,50%,50%,75%,75%,75%,50%,50%,75%,75%,50%,50%,50%,50%,75%,50%,75%,,,
,,,,0%,,60%,40%,60%,60%,40%,20%,20%,40%,20%,20%,60%,40%,40%,60%,40%,60%,20%,40%,20%,20%,20%,60%,40%,60%,60%,20%,20%,20%,20%,60%,40%,40%,60%,40%,60%,60%,60%,80%,60%,40%,60%,80%,60%,40%,60%,60%,60%,80%,60%,80%,,,
,,,,0%,,50%,50%,50%,50%,50%,17%,33%,50%,33%,33%,50%,33%,50%,67%,33%,50%,33%,33%,17%,17%,33%,67%,50%,67%,50%,17%,17%,17%,17%,50%,33%,50%,50%,33%,67%,50%,50%,67%,67%,33%,50%,67%,67%,33%,50%,67%,67%,83%,67%,,,,
,,,,,,43%,43%,43%,43%,43%,14%,43%,43%,43%,29%,43%,29%,57%,71%,29%,57%,29%,29%,29%,29%,29%,57%,43%,71%,43%,29%,14%,14%,14%,57%,29%,57%,43%,43%,57%,43%,57%,57%,57%,29%,57%,71%,71%,29%,57%,57%,57%,86%,,,,,
,,,,,,50%,38%,38%,38%,50%,25%,38%,38%,38%,38%,50%,38%,50%,62%,38%,62%,38%,38%,25%,38%,38%,62%,50%,62%,38%,25%,12%,12%,25%,50%,25%,50%,38%,38%,62%,50%,50%,50%,50%,25%,50%,62%,62%,38%,50%,62%,50%,88%,,,,,
,,,,,,56%,33%,44%,44%,44%,22%,33%,44%,33%,44%,56%,33%,44%,56%,44%,67%,33%,33%,22%,33%,44%,56%,44%,67%,33%,33%,11%,11%,22%,44%,33%,44%,44%,33%,67%,44%,44%,56%,44%,22%,56%,56%,67%,33%,56%,56%,56%,,,,,,
,,,,,,60%,30%,40%,50%,40%,30%,30%,40%,40%,50%,50%,30%,50%,50%,50%,60%,40%,40%,20%,30%,40%,50%,40%,70%,40%,30%,10%,20%,30%,40%,40%,50%,40%,40%,60%,40%,50%,60%,50%,20%,50%,60%,70%,30%,60%,60%,50%,,,,,,
,,,,,,55%,36%,36%,45%,36%,36%,36%,36%,36%,45%,45%,27%,45%,45%,45%,55%,36%,36%,18%,27%,36%,45%,36%,73%,45%,36%,18%,27%,36%,36%,36%,45%,45%,45%,64%,45%,55%,64%,45%,18%,55%,55%,73%,27%,64%,55%,45%,,,,,,
,,,,,,50%,33%,42%,42%,33%,33%,33%,33%,33%,50%,50%,25%,42%,50%,50%,50%,42%,33%,25%,25%,42%,42%,33%,67%,50%,33%,17%,33%,33%,42%,42%,42%,50%,42%,67%,42%,58%,67%,50%,25%,50%,50%,75%,33%,67%,58%,42%,,,,,,
,,,,,,,38%,38%,38%,38%,31%,38%,38%,31%,46%,46%,23%,38%,54%,54%,54%,38%,38%,23%,23%,46%,38%,31%,69%,54%,31%,15%,38%,38%,46%,38%,46%,46%,46%,69%,38%,54%,69%,46%,31%,46%,54%,77%,38%,62%,62%,,,,,,,
,,,,,,,36%,36%,43%,36%,29%,43%,43%,29%,43%,43%,21%,36%,57%,50%,50%,43%,43%,29%,29%,43%,36%,29%,64%,57%,29%,21%,43%,43%,43%,43%,43%,50%,50%,64%,43%,57%,71%,50%,36%,50%,57%,79%,43%,64%,57%,,,,,,,
,,,,,,,33%,40%,47%,33%,33%,47%,40%,27%,40%,40%,20%,33%,53%,47%,47%,40%,47%,33%,27%,47%,40%,33%,60%,53%,27%,27%,40%,47%,40%,40%,40%,47%,47%,60%,40%,60%,67%,47%,33%,47%,60%,80%,47%,67%,60%,,,,,,,
,,,,,,,38%,38%,44%,38%,31%,44%,38%,31%,38%,44%,19%,38%,50%,50%,50%,44%,44%,31%,31%,50%,38%,38%,56%,50%,25%,31%,38%,50%,44%,44%,38%,44%,50%,62%,38%,62%,69%,50%,31%,50%,62%,81%,50%,69%,56%,,,,,,,
,,,,,,,35%,35%,41%,35%,29%,41%,35%,29%,35%,41%,18%,41%,47%,53%,47%,47%,47%,35%,29%,47%,35%,41%,59%,47%,24%,29%,41%,53%,47%,41%,35%,41%,53%,65%,35%,59%,71%,53%,35%,53%,65%,82%,47%,65%,53%,,,,,,,
,,,,,,,33%,39%,44%,33%,28%,44%,33%,28%,39%,39%,22%,44%,44%,50%,44%,50%,50%,39%,28%,44%,39%,39%,56%,50%,28%,33%,39%,50%,50%,39%,33%,39%,50%,61%,33%,56%,67%,50%,33%,56%,61%,78%,44%,67%,56%,,,,,,,
,,,,,,,,42%,47%,32%,26%,47%,32%,26%,37%,37%,26%,42%,42%,47%,42%,53%,53%,42%,26%,42%,37%,37%,53%,47%,32%,37%,42%,47%,53%,37%,32%,37%,47%,58%,32%,53%,68%,47%,37%,58%,63%,79%,42%,68%,53%,,,,,,,
,,,,,,,,40%,45%,35%,25%,45%,35%,30%,35%,35%,30%,45%,45%,50%,40%,50%,55%,45%,25%,40%,35%,35%,55%,50%,35%,40%,40%,45%,50%,35%,35%,35%,45%,60%,35%,55%,65%,50%,40%,55%,60%,75%,40%,65%,50%,,,,,,,
,,,,,,,,43%,43%,33%,29%,43%,38%,29%,38%,38%,29%,48%,43%,48%,43%,52%,52%,43%,24%,38%,33%,33%,52%,52%,33%,43%,38%,48%,48%,33%,38%,38%,43%,62%,38%,57%,67%,52%,43%,57%,62%,76%,38%,62%,52%,,,,,,,
,,,,,,,,45%,41%,32%,32%,41%,41%,32%,41%,36%,32%,45%,45%,45%,45%,55%,50%,45%,27%,36%,32%,32%,55%,55%,36%,45%,41%,50%,50%,36%,36%,41%,41%,59%,41%,59%,68%,55%,41%,59%,59%,77%,41%,59%,,,,,,,,
,,,,,,,,48%,39%,35%,30%,43%,43%,35%,43%,35%,30%,43%,48%,43%,43%,52%,48%,48%,26%,39%,35%,30%,52%,52%,39%,48%,39%,52%,52%,35%,39%,43%,43%,61%,43%,61%,65%,52%,39%,61%,57%,78%,43%,57%,,,,,,,,
