-4.9,-4.8,-4.7,-4.6,-4.5,-4.3,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.5,4.6,4.7,4.8,4.9
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,0%,,0%,,,100%,,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,100%,100%,100%,0%,100%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,100%,100%,0%,0%,0%,100%,0%,100%,100%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,100%,0%,0%,0%,,0%,,0%,
,0%,,0%,,,100%,,,50%,0%,0%,0%,50%,0%,0%,50%,50%,50%,50%,0%,50%,0%,50%,100%,100%,0%,50%,0%,50%,50%,50%,0%,50%,0%,0%,0%,0%,50%,0%,50%,50%,50%,50%,0%,50%,0%,50%,100%,0%,50%,0%,50%,50%,50%,50%,0%,0%,0%,50%,50%,50%,50%,50%,50%,0%,0%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,50%,0%,0%,50%,0%,0%,100%,,,,,0%,,0%,
,,,0%,,,,,,67%,0%,0%,33%,33%,0%,0%,33%,67%,33%,67%,0%,33%,0%,33%,67%,67%,0%,33%,0%,67%,67%,33%,0%,67%,0%,0%,0%,0%,33%,33%,33%,33%,33%,67%,33%,33%,0%,33%,67%,0%,33%,33%,33%,67%,33%,33%,0%,0%,33%,33%,33%,33%,67%,33%,33%,0%,0%,33%,0%,0%,0%,0%,33%,67%,0%,0%,0%,33%,0%,0%,0%,33%,0%,0%,67%,0%,0%,67%,,,,,0%,,,
,,,25%,,,,,,75%,0%,0%,25%,50%,0%,25%,25%,50%,25%,75%,0%,25%,25%,25%,75%,50%,0%,50%,0%,50%,50%,25%,0%,50%,25%,0%,0%,0%,50%,25%,50%,25%,50%,75%,25%,25%,0%,25%,50%,25%,25%,25%,25%,50%,50%,25%,0%,25%,50%,25%,50%,25%,75%,25%,25%,0%,0%,25%,0%,0%,0%,25%,25%,50%,0%,0%,0%,25%,0%,25%,0%,25%,0%,0%,75%,0%,0%,50%,,,,,0%,,,
,,,,,,,,,80%,20%,20%,40%,40%,0%,40%,40%,40%,20%,60%,20%,40%,20%,40%,60%,40%,0%,40%,0%,40%,60%,40%,0%,60%,40%,0%,20%,0%,40%,20%,60%,40%,60%,60%,20%,40%,0%,20%,40%,40%,20%,40%,20%,60%,40%,20%,0%,20%,40%,20%,40%,40%,60%,20%,20%,0%,20%,20%,20%,0%,20%,20%,20%,60%,0%,0%,0%,20%,20%,20%,0%,20%,0%,0%,60%,0%,0%,60%,,,,,,,,
,,,,,,,,,67%,33%,17%,50%,50%,0%,33%,50%,50%,33%,67%,17%,50%,17%,50%,50%,33%,0%,33%,0%,33%,50%,33%,17%,67%,33%,0%,17%,0%,33%,33%,50%,33%,67%,50%,17%,33%,0%,33%,33%,33%,17%,33%,33%,50%,33%,33%,0%,33%,50%,17%,50%,33%,50%,17%,17%,0%,17%,17%,33%,0%,17%,17%,17%,67%,0%,0%,0%,17%,17%,33%,17%,17%,17%,0%,50%,0%,0%,50%,,,,,,,,
,,,,,,,,,71%,43%,29%,57%,57%,14%,29%,57%,43%,29%,71%,14%,57%,14%,57%,43%,29%,0%,29%,0%,29%,57%,29%,29%,57%,43%,0%,29%,14%,43%,43%,57%,43%,71%,43%,14%,29%,0%,29%,29%,43%,29%,43%,43%,57%,29%,43%,0%,43%,43%,14%,43%,29%,43%,14%,14%,0%,29%,14%,43%,0%,14%,14%,14%,57%,0%,0%,0%,14%,14%,29%,14%,14%,14%,0%,43%,0%,0%,43%,,,,,,,,
,,,,,,,,,62%,38%,25%,62%,62%,25%,38%,62%,38%,38%,75%,25%,62%,12%,50%,38%,25%,0%,25%,0%,25%,62%,25%,38%,50%,50%,12%,38%,25%,38%,38%,50%,38%,62%,38%,25%,25%,0%,38%,25%,38%,25%,38%,38%,50%,25%,38%,0%,50%,38%,12%,38%,38%,38%,12%,25%,0%,38%,12%,38%,0%,25%,12%,12%,62%,0%,0%,12%,12%,12%,25%,12%,12%,12%,0%,38%,0%,0%,38%,,,,,,,,
