-3.9,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.5,3.6,3.9,4.1
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,100%,0%,0%,100%,0%,0%,0%,100%,100%,0%,100%,100%,0%,0%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,0%,,
,,0%,,,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,50%,50%,50%,50%,100%,50%,0%,50%,0%,50%,100%,0%,0%,0%,50%,100%,50%,100%,100%,50%,50%,100%,50%,100%,100%,50%,50%,100%,100%,50%,100%,100%,100%,100%,50%,100%,100%,100%,,50%,100%,50%,,
,,,,,33%,33%,0%,0%,33%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,33%,67%,0%,0%,33%,0%,33%,0%,0%,33%,33%,33%,33%,67%,33%,0%,33%,0%,67%,100%,33%,33%,0%,67%,100%,33%,67%,100%,67%,67%,67%,67%,100%,100%,67%,67%,100%,100%,67%,100%,100%,100%,100%,67%,100%,67%,100%,,,,,,
,,,,,25%,25%,0%,0%,25%,0%,0%,0%,0%,0%,25%,50%,25%,0%,0%,0%,25%,50%,0%,0%,50%,0%,50%,0%,0%,25%,25%,25%,25%,50%,50%,25%,50%,0%,75%,100%,50%,25%,25%,75%,75%,25%,75%,100%,50%,75%,75%,50%,100%,100%,75%,75%,100%,100%,75%,100%,100%,100%,100%,50%,100%,75%,100%,,,,,,
,,,,,,20%,0%,0%,20%,0%,0%,0%,0%,0%,20%,40%,20%,0%,0%,0%,20%,60%,20%,0%,40%,0%,40%,0%,0%,20%,40%,40%,20%,40%,40%,40%,60%,20%,60%,80%,60%,20%,40%,80%,60%,40%,80%,100%,60%,80%,60%,40%,100%,100%,80%,80%,100%,100%,80%,100%,100%,100%,100%,60%,100%,80%,100%,,,,,,
,,,,,,17%,0%,0%,17%,0%,0%,0%,0%,0%,17%,33%,17%,0%,0%,0%,17%,50%,17%,0%,50%,17%,50%,0%,0%,33%,33%,50%,17%,33%,50%,50%,67%,17%,67%,67%,67%,17%,50%,67%,50%,33%,83%,100%,67%,83%,67%,33%,100%,100%,83%,83%,100%,100%,83%,100%,100%,83%,100%,50%,100%,83%,,,,,,,
,,,,,,14%,14%,0%,14%,0%,0%,0%,0%,0%,29%,29%,14%,14%,0%,14%,29%,43%,14%,0%,43%,14%,43%,0%,0%,43%,29%,43%,29%,29%,43%,43%,57%,14%,71%,71%,57%,14%,43%,57%,57%,43%,86%,100%,57%,86%,57%,29%,100%,100%,86%,86%,100%,86%,86%,100%,100%,86%,100%,57%,100%,86%,,,,,,,
,,,,,,12%,12%,0%,12%,0%,0%,0%,0%,0%,25%,25%,25%,12%,12%,25%,25%,38%,12%,12%,50%,12%,38%,12%,0%,38%,38%,38%,38%,25%,38%,50%,50%,25%,62%,62%,62%,12%,38%,50%,50%,50%,88%,88%,62%,88%,62%,38%,100%,100%,88%,88%,100%,88%,88%,88%,100%,88%,100%,,100%,88%,,,,,,,
,,,,,,11%,11%,0%,11%,0%,0%,0%,0%,0%,22%,22%,22%,11%,11%,22%,22%,44%,11%,11%,44%,11%,33%,11%,0%,33%,44%,44%,44%,33%,33%,44%,44%,33%,67%,56%,67%,11%,33%,56%,56%,56%,89%,89%,67%,89%,56%,44%,89%,89%,89%,89%,100%,89%,78%,89%,100%,89%,100%,,100%,89%,,,,,,,
,,,,,,,,0%,10%,0%,0%,0%,0%,0%,20%,20%,20%,20%,10%,20%,20%,40%,10%,10%,40%,10%,30%,10%,0%,30%,40%,50%,40%,30%,40%,40%,50%,30%,60%,60%,60%,20%,30%,50%,50%,50%,80%,90%,70%,90%,60%,40%,90%,90%,80%,80%,90%,90%,80%,90%,100%,90%,100%,,100%,80%,,,,,,,
