-5.0,-4.8,-4.6,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.6,4.8,5.0
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,100%,0%,0%,,0%,100%,0%,100%,0%,100%,100%,0%,100%,0%,100%,0%,100%,100%,0%,100%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,,100%,0%,0%,
,100%,0%,,,0%,50%,0%,100%,50%,50%,100%,0%,100%,0%,100%,0%,50%,100%,50%,50%,50%,0%,50%,50%,50%,0%,0%,50%,50%,0%,0%,0%,100%,50%,0%,50%,0%,50%,50%,50%,0%,0%,0%,0%,0%,50%,50%,100%,0%,0%,0%,0%,0%,0%,50%,50%,0%,50%,0%,0%,0%,50%,50%,50%,50%,50%,50%,0%,50%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%,50%,50%,0%,0%,0%,0%,,,50%,0%,
,67%,0%,,,0%,33%,33%,100%,67%,33%,67%,0%,67%,33%,100%,0%,67%,100%,33%,33%,33%,0%,33%,33%,33%,33%,33%,33%,67%,0%,33%,33%,100%,67%,0%,33%,0%,33%,33%,33%,0%,0%,0%,0%,0%,33%,33%,67%,0%,0%,0%,0%,33%,0%,33%,33%,0%,67%,0%,33%,0%,33%,67%,67%,33%,67%,33%,0%,67%,0%,0%,33%,0%,33%,67%,33%,0%,67%,0%,67%,33%,0%,33%,0%,0%,,,33%,0%,
,,25%,,,0%,25%,25%,75%,50%,25%,50%,0%,75%,25%,75%,0%,50%,75%,50%,25%,25%,25%,25%,50%,25%,25%,25%,25%,50%,25%,25%,25%,75%,75%,0%,25%,0%,25%,50%,25%,0%,25%,25%,0%,0%,50%,25%,75%,25%,0%,0%,0%,25%,0%,25%,50%,0%,50%,0%,25%,0%,25%,50%,50%,50%,75%,25%,0%,50%,0%,0%,25%,0%,50%,50%,25%,0%,75%,0%,50%,25%,0%,25%,0%,0%,,,50%,,
,,20%,,,0%,20%,40%,60%,60%,20%,40%,20%,80%,20%,80%,0%,40%,60%,40%,20%,20%,20%,20%,40%,20%,20%,20%,20%,40%,20%,20%,20%,60%,60%,20%,40%,0%,20%,40%,20%,20%,20%,20%,20%,0%,60%,20%,80%,20%,0%,20%,0%,20%,0%,20%,60%,0%,40%,0%,20%,20%,20%,40%,40%,40%,80%,40%,0%,40%,20%,0%,20%,0%,40%,40%,20%,0%,60%,0%,40%,40%,20%,20%,0%,20%,,,40%,,
,,,,,,33%,33%,50%,50%,17%,33%,17%,67%,17%,83%,0%,33%,50%,33%,17%,17%,33%,17%,33%,17%,33%,17%,33%,33%,17%,17%,33%,50%,50%,17%,33%,0%,17%,33%,17%,17%,17%,17%,17%,0%,50%,17%,67%,17%,0%,33%,17%,17%,0%,17%,50%,17%,33%,0%,33%,33%,17%,33%,50%,33%,67%,33%,0%,50%,33%,0%,17%,0%,33%,33%,17%,0%,67%,0%,33%,33%,17%,17%,0%,,,,,,
,,,,,,29%,29%,43%,57%,29%,29%,14%,57%,14%,86%,0%,29%,43%,29%,14%,29%,29%,14%,43%,29%,29%,14%,29%,29%,14%,14%,43%,43%,43%,14%,29%,0%,14%,29%,14%,14%,14%,14%,14%,0%,43%,14%,57%,14%,0%,43%,14%,14%,0%,14%,43%,14%,29%,0%,29%,29%,14%,29%,57%,29%,57%,29%,0%,43%,43%,0%,14%,0%,29%,29%,14%,14%,57%,14%,29%,29%,14%,14%,14%,,,,,,
,,,,,,38%,38%,50%,50%,25%,25%,12%,50%,12%,75%,12%,25%,38%,25%,12%,38%,25%,25%,50%,25%,25%,12%,25%,25%,12%,12%,38%,50%,38%,12%,25%,12%,12%,25%,25%,25%,25%,25%,25%,0%,38%,12%,50%,12%,0%,50%,12%,25%,0%,25%,50%,12%,25%,0%,25%,25%,25%,25%,50%,38%,50%,25%,0%,50%,38%,0%,12%,0%,25%,25%,25%,12%,62%,12%,38%,25%,12%,12%,12%,,,,,,
,,,,,,33%,44%,44%,56%,22%,22%,22%,44%,22%,67%,11%,22%,33%,22%,22%,33%,22%,33%,56%,22%,22%,11%,22%,22%,11%,11%,44%,44%,44%,11%,33%,22%,11%,22%,22%,22%,33%,33%,22%,0%,33%,11%,44%,11%,0%,44%,11%,33%,0%,33%,44%,11%,22%,0%,33%,22%,22%,22%,44%,33%,44%,22%,0%,44%,33%,0%,11%,11%,22%,22%,22%,11%,56%,11%,33%,22%,11%,11%,11%,,,,,,
,,,,,,40%,40%,50%,60%,20%,20%,20%,40%,30%,60%,20%,20%,30%,30%,20%,40%,20%,40%,50%,20%,20%,10%,20%,20%,20%,20%,50%,40%,40%,10%,30%,30%,20%,20%,30%,20%,40%,30%,20%,10%,30%,10%,40%,10%,0%,40%,20%,40%,0%,30%,40%,10%,20%,0%,30%,20%,30%,20%,40%,30%,40%,20%,10%,40%,30%,10%,10%,20%,20%,20%,30%,10%,50%,20%,30%,20%,10%,20%,10%,,,,,,
,,,,,,36%,36%,45%,55%,18%,27%,18%,36%,27%,55%,18%,27%,27%,36%,18%,36%,27%,36%,45%,18%,27%,18%,18%,18%,18%,18%,45%,36%,36%,18%,36%,27%,18%,18%,36%,27%,36%,36%,27%,9%,27%,9%,36%,18%,0%,36%,18%,45%,0%,27%,45%,9%,18%,0%,27%,27%,36%,27%,36%,27%,45%,18%,9%,45%,27%,9%,9%,18%,18%,27%,36%,9%,45%,18%,36%,18%,9%,18%,9%,,,,,,
,,,,,,33%,33%,42%,50%,17%,25%,17%,33%,25%,58%,17%,25%,25%,33%,25%,33%,25%,42%,42%,25%,25%,17%,25%,17%,17%,17%,42%,42%,33%,25%,33%,25%,17%,25%,42%,25%,33%,33%,25%,17%,33%,8%,33%,25%,0%,33%,25%,42%,8%,25%,42%,8%,17%,8%,25%,25%,42%,25%,33%,25%,50%,17%,8%,42%,25%,8%,8%,25%,17%,25%,33%,8%,42%,25%,33%,17%,17%,17%,8%,,,,,,
,,,,,,31%,38%,38%,46%,15%,31%,15%,31%,23%,54%,23%,23%,23%,31%,23%,31%,23%,38%,46%,23%,31%,23%,23%,23%,15%,23%,38%,46%,38%,31%,31%,23%,15%,23%,38%,23%,31%,38%,23%,15%,31%,15%,38%,31%,8%,38%,23%,38%,8%,31%,38%,8%,15%,8%,23%,23%,46%,23%,31%,23%,46%,15%,15%,46%,23%,8%,8%,23%,15%,23%,38%,8%,38%,23%,31%,23%,15%,15%,8%,,,,,,
,,,,,,29%,36%,36%,50%,14%,36%,14%,29%,29%,57%,29%,29%,21%,29%,29%,36%,21%,43%,50%,21%,29%,21%,21%,29%,14%,21%,36%,43%,36%,29%,29%,21%,14%,21%,43%,29%,29%,36%,29%,21%,29%,14%,36%,29%,7%,36%,21%,36%,7%,29%,36%,7%,14%,14%,29%,21%,43%,29%,36%,21%,50%,14%,14%,43%,21%,7%,7%,21%,14%,21%,43%,7%,36%,21%,36%,29%,14%,14%,7%,,,,,,
,,,,,,27%,33%,,47%,,33%,20%,33%,27%,53%,33%,27%,27%,27%,27%,33%,20%,47%,53%,27%,27%,20%,20%,27%,13%,20%,33%,47%,33%,33%,33%,27%,20%,20%,47%,27%,27%,33%,27%,27%,27%,13%,33%,27%,7%,33%,20%,33%,7%,27%,40%,7%,20%,13%,27%,27%,40%,27%,33%,27%,47%,13%,20%,40%,20%,7%,7%,20%,13%,20%,40%,7%,40%,20%,,27%,,13%,7%,,,,,,
,,,,,,,31%,,50%,,31%,19%,31%,25%,56%,31%,25%,25%,25%,31%,31%,19%,44%,50%,25%,25%,25%,19%,25%,12%,25%,31%,44%,31%,31%,31%,31%,25%,19%,50%,31%,25%,38%,25%,25%,25%,12%,38%,25%,6%,38%,19%,31%,12%,25%,38%,12%,19%,12%,25%,25%,38%,25%,31%,25%,44%,12%,19%,44%,25%,12%,6%,19%,12%,25%,44%,12%,38%,25%,,25%,,12%,6%,,,,,,
,,,,,,,29%,,53%,,29%,18%,29%,24%,53%,35%,29%,24%,24%,29%,29%,24%,47%,47%,24%,24%,29%,24%,24%,12%,24%,29%,47%,29%,29%,35%,29%,29%,18%,47%,29%,29%,35%,24%,24%,29%,12%,35%,24%,6%,41%,24%,29%,18%,24%,35%,12%,18%,12%,24%,24%,35%,24%,35%,24%,41%,18%,18%,41%,24%,12%,6%,18%,12%,24%,41%,12%,35%,24%,,29%,,12%,,,,,,,
,,,,,,,,,50%,,28%,17%,28%,22%,50%,39%,28%,22%,22%,33%,28%,22%,50%,44%,28%,22%,28%,22%,22%,11%,22%,28%,44%,28%,33%,39%,28%,28%,17%,50%,28%,33%,33%,28%,28%,28%,11%,33%,22%,6%,39%,22%,28%,17%,22%,39%,11%,17%,11%,22%,22%,33%,22%,33%,22%,44%,17%,17%,44%,28%,11%,6%,17%,11%,22%,39%,11%,33%,22%,,,,17%,,,,,,,
,,,,,,,,,,,26%,21%,26%,26%,47%,37%,32%,21%,21%,32%,26%,21%,47%,42%,26%,21%,26%,26%,21%,11%,21%,26%,42%,32%,32%,37%,26%,26%,16%,47%,26%,32%,32%,26%,26%,26%,11%,32%,26%,5%,37%,21%,26%,21%,26%,37%,11%,16%,16%,21%,21%,32%,21%,32%,21%,42%,16%,16%,42%,26%,11%,5%,16%,11%,26%,42%,11%,32%,26%,,,,,,,,,,,
,,,,,,,,,,,25%,20%,25%,25%,45%,35%,30%,25%,25%,35%,30%,25%,45%,40%,25%,25%,25%,25%,20%,15%,20%,25%,40%,30%,30%,35%,25%,25%,20%,45%,25%,30%,30%,25%,25%,25%,15%,30%,25%,5%,35%,20%,25%,20%,25%,35%,10%,15%,15%,25%,20%,35%,20%,30%,25%,40%,15%,20%,40%,25%,10%,5%,15%,10%,25%,40%,10%,30%,25%,,,,,,,,,,,
,,,,,,,,,,,24%,24%,24%,24%,48%,38%,29%,24%,24%,33%,29%,24%,43%,38%,24%,24%,24%,24%,19%,19%,24%,24%,38%,29%,29%,33%,29%,24%,24%,48%,29%,33%,29%,24%,24%,24%,14%,29%,29%,5%,38%,19%,24%,19%,24%,33%,10%,14%,14%,24%,24%,38%,19%,29%,24%,43%,14%,19%,38%,24%,10%,5%,14%,10%,24%,38%,14%,29%,24%,,,,,,,,,,,
,,,,,,,,,,,23%,27%,23%,23%,50%,36%,27%,23%,23%,36%,32%,27%,41%,36%,23%,23%,23%,23%,18%,18%,23%,23%,36%,27%,27%,32%,27%,27%,27%,45%,32%,32%,27%,23%,23%,23%,14%,27%,27%,5%,36%,18%,23%,18%,23%,32%,9%,14%,14%,23%,23%,36%,18%,27%,23%,41%,14%,18%,36%,23%,9%,9%,14%,14%,23%,36%,14%,27%,27%,,,,,,,,,,,
