-3.9,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.5,3.6,3.9,4.1
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,100%,0%,,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%,100%,100%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,100%,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,100%,,
,,50%,,,0%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,50%,0%,100%,50%,50%,0%,0%,50%,0%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,50%,50%,0%,50%,0%,0%,50%,50%,0%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,,0%,0%,50%,,
,,,,,0%,0%,0%,0%,0%,0%,33%,33%,67%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,67%,0%,67%,33%,67%,0%,0%,33%,33%,67%,33%,33%,0%,33%,33%,0%,0%,33%,0%,67%,33%,0%,33%,0%,0%,33%,33%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,,,,,,
,,,,,0%,0%,25%,25%,0%,0%,25%,50%,50%,25%,0%,0%,0%,0%,25%,50%,0%,25%,25%,75%,0%,50%,25%,50%,0%,25%,25%,50%,50%,50%,25%,0%,25%,25%,0%,0%,25%,0%,50%,25%,25%,25%,0%,0%,50%,25%,0%,25%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,,,,,,
,,,,,,0%,20%,20%,0%,0%,40%,40%,40%,20%,0%,20%,0%,0%,20%,40%,20%,20%,20%,60%,0%,60%,20%,40%,20%,20%,20%,40%,60%,60%,40%,0%,20%,20%,0%,20%,20%,0%,40%,20%,20%,20%,0%,0%,40%,20%,20%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,40%,0%,0%,0%,,,,,,
,,,,,,0%,17%,17%,0%,0%,33%,33%,50%,17%,0%,17%,0%,0%,33%,33%,17%,33%,33%,50%,0%,50%,17%,33%,17%,17%,33%,33%,67%,67%,33%,0%,17%,17%,0%,33%,17%,17%,33%,33%,17%,17%,0%,0%,33%,17%,17%,33%,0%,0%,0%,17%,0%,0%,0%,0%,0%,17%,0%,50%,0%,0%,,,,,,,
,,,,,,0%,14%,14%,14%,0%,43%,29%,43%,29%,0%,14%,0%,0%,43%,29%,14%,29%,29%,43%,14%,43%,14%,29%,29%,14%,43%,43%,57%,71%,29%,14%,29%,14%,0%,29%,29%,14%,43%,43%,14%,14%,0%,0%,29%,14%,14%,43%,0%,0%,0%,14%,0%,14%,0%,0%,0%,14%,0%,43%,0%,0%,,,,,,,
,,,,,,0%,12%,12%,12%,0%,38%,25%,38%,25%,0%,25%,0%,0%,38%,25%,25%,25%,25%,38%,12%,38%,12%,25%,25%,25%,38%,38%,50%,62%,38%,12%,38%,12%,12%,38%,25%,25%,50%,50%,25%,12%,0%,12%,25%,12%,12%,38%,0%,0%,0%,12%,0%,12%,0%,0%,0%,12%,0%,,0%,0%,,,,,,,
,,,,,,0%,11%,22%,22%,0%,33%,22%,33%,22%,0%,22%,0%,0%,33%,22%,22%,22%,22%,44%,11%,33%,11%,22%,22%,22%,33%,33%,44%,56%,44%,11%,33%,11%,11%,33%,22%,22%,56%,44%,22%,11%,0%,11%,22%,11%,22%,33%,11%,0%,0%,11%,0%,11%,11%,0%,0%,11%,0%,,0%,0%,,,,,,,
,,,,,,,,20%,,0%,40%,20%,30%,20%,0%,20%,0%,0%,30%,20%,30%,20%,30%,50%,20%,30%,20%,30%,30%,30%,30%,30%,40%,50%,40%,20%,30%,20%,20%,30%,30%,20%,60%,50%,30%,10%,10%,10%,20%,10%,20%,40%,10%,0%,10%,10%,0%,10%,10%,0%,0%,10%,0%,,,10%,,,,,,,
