-3.6,-3.5,-3.4,-3.2,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.4,3.5,3.6
,,,,42%,67%,58%,83%,75%,50%,50%,50%,67%,58%,42%,25%,17%,67%,42%,33%,33%,42%,50%,42%,17%,33%,42%,42%,33%,42%,58%,50%,25%,25%,25%,25%,50%,25%,17%,42%,42%,25%,25%,33%,42%,8%,33%,17%,33%,17%,8%,17%,8%,17%,25%,17%,8%,0%,0%,8%,0%,8%,17%,8%,0%,,,,
,,,,46%,69%,62%,77%,69%,54%,46%,54%,69%,54%,38%,23%,15%,62%,38%,38%,31%,38%,46%,38%,15%,31%,46%,46%,31%,38%,54%,46%,23%,23%,23%,23%,46%,23%,15%,38%,38%,23%,23%,31%,38%,8%,31%,23%,31%,15%,15%,23%,15%,15%,23%,15%,8%,0%,0%,8%,0%,8%,15%,8%,0%,,,,
,,,,50%,64%,64%,71%,64%,50%,50%,50%,71%,50%,36%,21%,21%,64%,36%,43%,29%,43%,50%,43%,14%,29%,43%,43%,29%,36%,57%,43%,29%,29%,29%,21%,43%,21%,14%,36%,43%,21%,21%,29%,36%,7%,29%,21%,29%,14%,14%,21%,14%,14%,29%,14%,7%,0%,0%,7%,0%,7%,14%,7%,0%,,,,
,,,,53%,60%,60%,67%,60%,53%,47%,47%,67%,53%,33%,20%,20%,67%,40%,40%,27%,40%,47%,40%,13%,33%,40%,47%,27%,33%,53%,47%,27%,27%,27%,27%,40%,20%,20%,33%,40%,20%,20%,27%,33%,13%,27%,20%,33%,20%,13%,20%,13%,20%,33%,13%,13%,0%,7%,7%,0%,7%,13%,7%,0%,,,,
,,,,50%,62%,62%,69%,62%,56%,44%,50%,62%,56%,38%,25%,25%,69%,38%,38%,25%,38%,44%,38%,19%,31%,38%,50%,31%,31%,50%,44%,31%,25%,25%,25%,38%,19%,25%,38%,44%,19%,25%,25%,31%,12%,31%,19%,31%,19%,12%,19%,12%,19%,38%,12%,19%,6%,6%,6%,0%,6%,12%,6%,0%,,,,
,,,,53%,65%,65%,71%,59%,53%,47%,53%,59%,53%,35%,24%,24%,65%,35%,35%,29%,35%,41%,41%,24%,35%,35%,47%,29%,29%,53%,41%,29%,29%,29%,24%,35%,24%,24%,35%,41%,18%,24%,29%,35%,12%,35%,18%,35%,18%,12%,18%,18%,18%,35%,12%,18%,6%,6%,6%,0%,6%,12%,6%,0%,,,,
,,,,,67%,61%,72%,61%,50%,50%,56%,61%,50%,39%,22%,28%,61%,33%,33%,28%,33%,44%,44%,22%,33%,39%,44%,28%,28%,50%,44%,28%,33%,33%,22%,33%,22%,22%,33%,39%,17%,22%,33%,33%,11%,33%,17%,33%,17%,11%,17%,17%,17%,33%,11%,17%,6%,11%,6%,0%,6%,11%,6%,0%,,,,
,,,,,68%,58%,74%,63%,47%,53%,53%,63%,47%,42%,21%,26%,58%,32%,37%,32%,32%,42%,47%,21%,32%,37%,42%,26%,32%,47%,42%,26%,37%,37%,21%,32%,21%,21%,32%,37%,21%,21%,32%,32%,11%,32%,16%,32%,21%,16%,16%,16%,16%,32%,11%,16%,5%,11%,11%,0%,5%,11%,,,,,,
,,,,,,60%,75%,60%,50%,50%,55%,65%,50%,45%,25%,25%,60%,35%,40%,35%,30%,40%,45%,20%,30%,35%,45%,25%,35%,50%,45%,30%,35%,35%,20%,30%,20%,20%,30%,35%,20%,20%,35%,30%,10%,30%,15%,30%,20%,15%,15%,20%,15%,30%,10%,15%,10%,10%,10%,0%,5%,10%,,,,,,
,,,,,,62%,76%,62%,52%,48%,57%,62%,48%,43%,24%,24%,62%,38%,38%,33%,29%,38%,43%,19%,29%,33%,48%,24%,38%,52%,43%,29%,33%,33%,19%,33%,19%,19%,33%,33%,19%,19%,38%,33%,10%,29%,19%,33%,19%,19%,14%,19%,14%,33%,10%,14%,10%,10%,10%,0%,5%,10%,,,,,,
