-5.0,-4.8,-4.6,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.6,4.8,5.0
,,,,,,,,,,,39%,43%,48%,48%,39%,52%,43%,57%,52%,39%,52%,35%,22%,43%,48%,30%,30%,35%,39%,30%,39%,26%,48%,39%,39%,35%,30%,35%,30%,35%,22%,30%,22%,39%,26%,22%,43%,22%,39%,48%,30%,35%,13%,30%,35%,13%,26%,26%,22%,39%,17%,9%,26%,22%,13%,13%,13%,17%,22%,4%,26%,17%,26%,13%,17%,9%,22%,13%,22%,,,,,,,,,,,
,,,,,,,,,,,38%,46%,46%,46%,38%,54%,42%,54%,54%,38%,54%,38%,21%,46%,50%,29%,33%,33%,38%,33%,38%,25%,46%,38%,38%,33%,29%,38%,33%,33%,21%,33%,21%,38%,25%,21%,42%,21%,38%,50%,29%,33%,12%,29%,33%,12%,25%,25%,21%,42%,21%,8%,25%,25%,12%,12%,12%,17%,21%,8%,25%,17%,25%,12%,17%,8%,25%,12%,21%,,,,,,,,,,,
,,,,,,,,,,,36%,48%,48%,44%,36%,56%,40%,52%,56%,40%,56%,40%,24%,48%,52%,28%,32%,32%,40%,36%,36%,24%,48%,40%,40%,36%,32%,40%,32%,36%,20%,36%,20%,40%,24%,20%,40%,20%,36%,48%,28%,36%,12%,28%,32%,12%,24%,24%,20%,40%,20%,8%,24%,24%,12%,12%,12%,16%,20%,8%,24%,20%,28%,12%,16%,8%,24%,12%,20%,,,,,,,,,,,
,,,,,,,,,,,35%,,46%,46%,35%,54%,42%,50%,58%,38%,54%,42%,23%,46%,50%,31%,35%,35%,38%,35%,35%,23%,46%,38%,42%,38%,31%,42%,35%,35%,19%,35%,19%,38%,23%,19%,38%,23%,38%,50%,27%,35%,15%,27%,31%,15%,23%,27%,23%,38%,19%,8%,23%,23%,12%,15%,12%,15%,19%,8%,23%,19%,31%,12%,15%,8%,27%,,19%,,,,,,,,,,,
,,,,,,,,,,,37%,,44%,44%,37%,56%,41%,48%,56%,41%,56%,41%,26%,44%,48%,30%,33%,37%,37%,33%,37%,22%,44%,41%,44%,37%,30%,41%,37%,33%,19%,37%,19%,37%,26%,19%,37%,22%,37%,48%,26%,33%,15%,30%,30%,19%,22%,30%,22%,37%,19%,7%,22%,22%,15%,15%,11%,15%,22%,7%,22%,19%,33%,11%,15%,7%,26%,,22%,,,,,,,,,,,
,,,,,,,,,,,36%,,46%,43%,39%,54%,43%,50%,57%,39%,54%,39%,29%,43%,50%,32%,36%,39%,36%,32%,36%,21%,43%,39%,46%,39%,29%,39%,39%,36%,18%,36%,18%,36%,25%,18%,36%,21%,39%,46%,29%,32%,14%,29%,29%,21%,21%,29%,21%,36%,18%,7%,21%,21%,14%,14%,11%,14%,21%,11%,21%,18%,36%,11%,18%,7%,25%,,25%,,,,,,,,,,,
,,,,,,,,,,,34%,,45%,45%,38%,55%,41%,52%,59%,41%,52%,41%,28%,45%,52%,31%,38%,38%,38%,31%,34%,21%,45%,41%,48%,38%,28%,38%,38%,38%,21%,34%,21%,34%,28%,17%,34%,24%,38%,45%,31%,31%,14%,28%,28%,21%,21%,28%,21%,34%,17%,10%,24%,24%,14%,14%,10%,14%,21%,10%,21%,17%,34%,10%,17%,7%,28%,,24%,,,,,,,,,,,
,,,,,,,,,,,37%,,43%,47%,40%,57%,43%,53%,60%,43%,50%,40%,27%,43%,50%,30%,37%,37%,37%,33%,33%,20%,47%,43%,50%,40%,30%,37%,40%,40%,20%,37%,20%,33%,27%,20%,33%,27%,37%,43%,30%,33%,13%,27%,27%,20%,20%,30%,20%,33%,17%,10%,27%,27%,13%,13%,10%,17%,20%,10%,20%,17%,37%,10%,17%,7%,27%,,27%,,,,,,,,,,,
,,,,,,,,,,,39%,,45%,45%,39%,58%,45%,55%,61%,42%,48%,42%,29%,42%,48%,29%,35%,39%,35%,35%,32%,19%,45%,42%,48%,42%,29%,35%,39%,39%,19%,35%,19%,35%,26%,23%,32%,26%,35%,42%,32%,32%,13%,29%,26%,19%,23%,32%,19%,32%,19%,10%,26%,26%,13%,16%,10%,16%,19%,10%,19%,16%,35%,10%,16%,6%,26%,,26%,,,,,,,,,,,
,,,,,,,,,,,38%,,44%,47%,38%,56%,47%,56%,59%,44%,47%,44%,31%,41%,50%,28%,34%,38%,34%,38%,31%,19%,44%,41%,50%,41%,31%,34%,38%,38%,19%,34%,22%,34%,28%,22%,34%,25%,38%,41%,31%,31%,12%,28%,25%,19%,22%,31%,22%,31%,19%,9%,25%,25%,12%,16%,12%,16%,19%,12%,19%,16%,34%,9%,16%,6%,25%,,25%,,,,,,,,,,,
