-4.8,-4.6,-4.5,-4.4,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,0%,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,100%,100%,100%,0%,100%,100%,0%,0%,0%,0%,100%,100%,100%,0%,0%,100%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,,,,,,
,0%,,,,,50%,0%,0%,0%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,50%,0%,50%,0%,0%,50%,0%,50%,0%,50%,50%,50%,0%,100%,0%,0%,50%,0%,0%,50%,0%,50%,0%,50%,50%,100%,100%,50%,0%,100%,100%,0%,0%,50%,0%,50%,50%,50%,0%,50%,100%,50%,50%,50%,50%,100%,50%,100%,100%,100%,100%,50%,50%,100%,100%,50%,100%,100%,100%,100%,100%,100%,,100%,100%,,50%,,,,,,
,0%,,,,,,0%,0%,33%,0%,33%,33%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,67%,0%,33%,0%,33%,33%,0%,33%,33%,33%,33%,33%,0%,100%,0%,33%,33%,33%,0%,33%,33%,67%,0%,33%,33%,67%,67%,33%,0%,67%,100%,0%,33%,33%,33%,33%,33%,67%,33%,67%,100%,33%,67%,33%,33%,100%,33%,100%,67%,100%,100%,67%,67%,100%,100%,67%,100%,100%,100%,100%,100%,100%,,100%,100%,,67%,,,,,,
,0%,,,,,,,0%,25%,0%,25%,50%,0%,0%,25%,50%,25%,0%,0%,0%,25%,0%,0%,50%,0%,25%,25%,25%,25%,0%,25%,25%,25%,50%,25%,25%,75%,0%,25%,50%,25%,25%,25%,50%,50%,25%,50%,25%,50%,50%,25%,25%,75%,75%,0%,50%,50%,50%,50%,25%,75%,25%,75%,100%,50%,75%,25%,25%,100%,25%,100%,75%,100%,100%,50%,75%,100%,100%,75%,100%,100%,100%,100%,100%,100%,,75%,,,,,,,,,
,,,,,,,,0%,20%,0%,20%,40%,0%,0%,20%,40%,20%,0%,20%,0%,20%,0%,20%,40%,0%,20%,40%,20%,40%,0%,20%,20%,20%,60%,40%,40%,60%,0%,40%,60%,40%,40%,40%,40%,40%,40%,40%,20%,60%,40%,20%,20%,80%,60%,20%,40%,60%,60%,60%,20%,80%,20%,80%,80%,60%,80%,40%,40%,100%,40%,80%,80%,80%,100%,40%,80%,80%,80%,80%,80%,100%,80%,100%,100%,,,80%,,,,,,,,,
,,,,,,,,0%,17%,0%,17%,50%,17%,17%,17%,33%,17%,0%,17%,17%,33%,0%,17%,33%,0%,17%,33%,17%,33%,0%,17%,33%,17%,50%,50%,33%,50%,0%,50%,50%,50%,50%,33%,33%,33%,50%,33%,17%,50%,50%,33%,17%,83%,67%,33%,33%,67%,50%,67%,33%,67%,17%,67%,67%,67%,67%,50%,33%,100%,50%,83%,83%,83%,100%,50%,83%,83%,83%,67%,83%,100%,83%,100%,100%,,,,,,,,,,,,
,,,,,,,,0%,14%,0%,29%,43%,14%,14%,29%,29%,14%,0%,14%,14%,43%,0%,14%,29%,0%,29%,29%,29%,29%,14%,14%,29%,14%,57%,57%,29%,57%,0%,43%,57%,57%,43%,43%,29%,29%,43%,43%,29%,43%,43%,43%,29%,86%,71%,43%,43%,71%,57%,57%,43%,57%,29%,71%,57%,57%,57%,57%,29%,100%,57%,86%,86%,86%,100%,57%,86%,86%,86%,71%,86%,100%,86%,100%,100%,,,,,,,,,,,,
,,,,,,,,0%,12%,0%,25%,38%,12%,12%,25%,25%,12%,0%,12%,25%,38%,0%,12%,25%,0%,25%,25%,25%,25%,12%,12%,25%,12%,50%,50%,38%,50%,0%,38%,50%,62%,38%,38%,25%,38%,50%,38%,25%,50%,38%,50%,38%,75%,62%,50%,38%,62%,62%,50%,50%,50%,25%,75%,62%,50%,62%,50%,38%,88%,62%,88%,75%,88%,100%,62%,88%,88%,88%,75%,88%,100%,88%,100%,100%,,,,,,,,,,,,
,,,,,,,,,11%,,22%,33%,11%,11%,22%,22%,11%,11%,11%,22%,33%,0%,22%,22%,0%,22%,22%,22%,22%,22%,11%,22%,11%,56%,56%,33%,44%,0%,33%,44%,67%,33%,33%,22%,33%,44%,44%,33%,44%,44%,56%,33%,78%,67%,56%,33%,56%,67%,56%,56%,56%,22%,67%,67%,56%,67%,56%,33%,89%,67%,89%,78%,89%,89%,56%,78%,89%,89%,67%,89%,,78%,100%,100%,,,,,,,,,,,,
,,,,,,,,,10%,,20%,40%,10%,10%,20%,20%,10%,10%,10%,20%,30%,0%,20%,20%,10%,20%,20%,20%,30%,30%,20%,20%,10%,50%,50%,40%,50%,10%,30%,40%,60%,30%,40%,20%,40%,40%,40%,30%,40%,50%,50%,30%,80%,60%,60%,40%,60%,70%,50%,50%,60%,30%,60%,70%,60%,70%,50%,40%,90%,70%,90%,70%,90%,80%,60%,80%,90%,80%,70%,90%,,,90%,100%,,,,,,,,,,,,
,,,,,,,,,9%,,,36%,9%,9%,18%,18%,9%,9%,9%,18%,27%,0%,18%,18%,9%,27%,18%,18%,36%,27%,27%,18%,9%,45%,45%,36%,45%,18%,27%,45%,55%,36%,36%,18%,36%,36%,45%,36%,45%,45%,55%,27%,82%,55%,64%,45%,64%,64%,45%,55%,64%,36%,64%,73%,64%,73%,55%,45%,91%,73%,91%,73%,91%,82%,64%,82%,91%,82%,73%,91%,,,91%,91%,,,,,,,,,,,,
,,,,,,,,,8%,,,,8%,8%,17%,17%,8%,17%,17%,25%,25%,0%,17%,17%,8%,25%,17%,25%,33%,25%,33%,25%,8%,42%,42%,42%,42%,17%,33%,42%,58%,42%,42%,25%,42%,33%,42%,33%,50%,50%,50%,25%,83%,58%,67%,42%,58%,67%,50%,58%,67%,42%,67%,67%,67%,67%,58%,50%,92%,75%,83%,67%,92%,83%,67%,83%,92%,83%,75%,92%,,,92%,,,,,,,,,,,,,
