-2.9,-2.8,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
0%,,100%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,100%,100%,0%,100%,100%,0%,0%,0%,100%,100%,100%,0%,100%,0%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%,0%
0%,,50%,0%,50%,100%,0%,50%,0%,0%,0%,50%,50%,100%,100%,50%,50%,100%,100%,0%,0%,0%,50%,50%,50%,0%,100%,0%,100%,50%,0%,50%,50%,100%,0%,50%,50%,0%,0%,50%,0%,50%,50%,50%,0%,0%,0%,0%,0%,50%,0%,100%,50%,50%,100%,0%,0%,0%,0%
,,67%,0%,67%,67%,0%,33%,33%,0%,33%,33%,33%,100%,67%,33%,33%,67%,67%,0%,0%,0%,33%,33%,33%,0%,67%,0%,100%,33%,33%,33%,67%,67%,33%,33%,33%,33%,0%,67%,0%,33%,33%,33%,33%,33%,33%,0%,0%,33%,33%,67%,33%,33%,67%,33%,0%,,
,,75%,,50%,50%,25%,50%,25%,0%,50%,25%,25%,75%,75%,25%,25%,50%,50%,0%,0%,25%,25%,25%,25%,25%,50%,0%,75%,25%,25%,50%,75%,50%,25%,25%,25%,25%,0%,75%,0%,25%,25%,25%,25%,25%,25%,0%,0%,50%,25%,50%,25%,25%,50%,25%,,,
,,,,60%,,40%,60%,20%,20%,40%,40%,40%,60%,80%,20%,20%,40%,40%,20%,0%,40%,40%,20%,20%,20%,40%,0%,60%,20%,20%,40%,80%,40%,40%,20%,40%,40%,0%,60%,0%,20%,40%,20%,20%,40%,20%,0%,0%,60%,20%,40%,20%,20%,40%,20%,,,
,,,,67%,,50%,50%,33%,33%,33%,50%,33%,50%,67%,17%,33%,50%,33%,17%,17%,33%,33%,33%,17%,17%,33%,0%,50%,17%,17%,50%,67%,33%,50%,17%,50%,33%,17%,50%,0%,17%,50%,33%,17%,33%,17%,17%,0%,50%,33%,33%,17%,17%,33%,,,,
,,,,,,57%,57%,29%,29%,29%,57%,29%,43%,57%,29%,29%,57%,29%,14%,14%,29%,29%,43%,14%,14%,29%,14%,43%,14%,14%,43%,71%,43%,43%,14%,57%,29%,29%,43%,14%,14%,43%,29%,29%,43%,14%,14%,0%,43%,29%,43%,14%,14%,,,,,
,,,,,,50%,50%,25%,25%,25%,50%,25%,50%,62%,25%,25%,50%,38%,25%,12%,25%,25%,38%,25%,12%,25%,12%,38%,12%,12%,50%,75%,38%,38%,12%,62%,25%,38%,38%,12%,12%,38%,38%,25%,50%,25%,25%,12%,38%,25%,38%,25%,12%,,,,,
,,,,,,44%,56%,22%,22%,33%,44%,33%,44%,67%,22%,22%,44%,44%,22%,11%,22%,22%,44%,33%,11%,22%,11%,33%,11%,22%,44%,67%,44%,33%,22%,56%,22%,33%,33%,11%,11%,33%,33%,22%,44%,22%,33%,11%,33%,22%,33%,22%,,,,,,
,,,,,,40%,50%,20%,20%,40%,40%,40%,50%,60%,20%,30%,50%,40%,20%,10%,20%,20%,40%,30%,20%,20%,10%,30%,10%,20%,50%,70%,40%,30%,30%,50%,20%,40%,30%,20%,10%,30%,30%,20%,40%,30%,30%,10%,40%,20%,30%,20%,,,,,,
,,,,,,45%,45%,27%,18%,45%,36%,36%,45%,64%,18%,27%,45%,45%,27%,9%,27%,18%,36%,36%,27%,18%,9%,36%,9%,18%,45%,64%,36%,27%,36%,45%,27%,36%,27%,18%,9%,27%,27%,27%,36%,27%,36%,9%,45%,18%,27%,27%,,,,,,
,,,,,,50%,50%,25%,17%,42%,42%,42%,42%,67%,17%,25%,50%,50%,25%,8%,33%,17%,42%,33%,25%,17%,17%,42%,8%,17%,50%,67%,33%,25%,33%,42%,25%,33%,33%,17%,8%,25%,25%,25%,33%,25%,33%,8%,42%,17%,25%,25%,,,,,,
,,,,,,,46%,23%,23%,38%,38%,38%,38%,62%,23%,23%,54%,54%,23%,8%,31%,23%,38%,38%,23%,15%,23%,38%,8%,15%,54%,62%,31%,23%,31%,38%,23%,38%,31%,15%,15%,31%,23%,23%,31%,23%,31%,8%,38%,15%,23%,,,,,,,
,,,,,,,50%,21%,21%,43%,36%,36%,36%,64%,29%,21%,57%,50%,21%,7%,29%,21%,36%,36%,21%,14%,21%,43%,7%,14%,57%,57%,29%,21%,29%,36%,29%,36%,29%,21%,14%,29%,21%,21%,29%,21%,29%,7%,36%,14%,21%,,,,,,,
,,,,,,,53%,20%,20%,47%,33%,33%,40%,67%,33%,27%,60%,47%,20%,7%,27%,27%,33%,33%,27%,13%,20%,40%,7%,13%,53%,53%,33%,20%,27%,40%,33%,33%,27%,20%,20%,27%,20%,27%,27%,27%,27%,7%,33%,13%,20%,,,,,,,
,,,,,,,50%,25%,25%,44%,38%,31%,44%,62%,38%,25%,62%,44%,25%,6%,25%,25%,31%,38%,25%,12%,19%,38%,6%,19%,56%,50%,31%,19%,25%,38%,31%,38%,25%,19%,25%,25%,19%,25%,25%,25%,25%,6%,31%,12%,19%,,,,,,,
,,,,,,,53%,29%,29%,47%,41%,35%,41%,59%,35%,29%,65%,41%,24%,6%,29%,24%,29%,35%,29%,18%,24%,35%,6%,18%,59%,47%,29%,18%,24%,41%,29%,41%,24%,18%,29%,29%,18%,24%,24%,24%,24%,6%,35%,12%,18%,,,,,,,
,,,,,,,56%,28%,28%,50%,44%,33%,44%,61%,33%,33%,61%,39%,22%,11%,28%,22%,28%,33%,33%,22%,22%,39%,11%,17%,56%,44%,28%,22%,22%,44%,33%,39%,28%,22%,28%,33%,22%,22%,28%,22%,22%,6%,33%,11%,17%,,,,,,,
,,,,,,,,26%,26%,53%,47%,32%,47%,63%,37%,37%,58%,42%,21%,11%,26%,21%,26%,32%,37%,26%,21%,42%,16%,21%,53%,42%,26%,21%,21%,42%,32%,42%,32%,21%,32%,32%,21%,21%,26%,21%,21%,5%,37%,11%,21%,,,,,,,
,,,,,,,,30%,30%,50%,45%,35%,45%,60%,40%,35%,55%,40%,20%,10%,30%,25%,25%,30%,40%,30%,25%,40%,15%,20%,50%,40%,30%,25%,25%,40%,30%,40%,30%,20%,30%,30%,20%,20%,25%,25%,20%,10%,35%,10%,20%,,,,,,,
,,,,,,,,29%,33%,52%,43%,38%,43%,57%,38%,33%,52%,38%,19%,14%,29%,24%,24%,29%,38%,29%,24%,43%,19%,19%,52%,38%,29%,24%,29%,38%,29%,38%,29%,19%,29%,29%,19%,19%,24%,24%,19%,10%,38%,10%,19%,,,,,,,
,,,,,,,,27%,36%,50%,41%,41%,41%,55%,36%,32%,50%,41%,18%,18%,27%,23%,27%,27%,36%,32%,23%,45%,18%,18%,50%,36%,27%,23%,27%,36%,32%,36%,32%,18%,27%,27%,18%,18%,23%,23%,18%,9%,36%,14%,,,,,,,,
,,,,,,,,26%,39%,48%,39%,39%,39%,52%,35%,30%,48%,43%,17%,22%,30%,26%,26%,26%,35%,30%,22%,43%,22%,22%,48%,35%,26%,22%,26%,35%,30%,35%,30%,17%,26%,26%,22%,17%,26%,22%,17%,9%,35%,13%,,,,,,,,
