id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
163444,4,Goal,0.72,0.5059999847412109,0.04855595529079437,Neymar,h,2099,DirectFreekick,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,,Standard
163445,11,Goal,0.879000015258789,0.48700000762939455,0.4223570227622986,Edinson Cavani,h,3294,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Neymar,Throughball
163446,20,Goal,0.8619999694824219,0.46,0.10647926479578018,Thomas Meunier,h,5680,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Yuri,Cross
163451,36,SavedShot,0.9159999847412109,0.34200000762939453,0.10386514663696289,Kylian Mbappe-Lottin,h,3423,SetPiece,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Neymar,Throughball
163453,38,SavedShot,0.8819999694824219,0.66,0.08854438364505768,Julian Draxler,h,152,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Edinson Cavani,Pass
163454,39,Goal,0.885,0.5,0.7600951194763184,Neymar,h,2099,Penalty,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,,Standard
163455,44,Goal,0.8930000305175781,0.62,0.14227139949798584,Julian Draxler,h,152,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Kylian Mbappe-Lottin,Chipped
163459,57,Goal,0.9459999847412109,0.3340000152587891,0.39209213852882385,Kylian Mbappe-Lottin,h,3423,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Julian Draxler,Throughball
163462,63,MissedShots,0.7580000305175781,0.5659999847412109,0.0708303302526474,Ángel Di María,h,3553,DirectFreekick,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,,Standard
163467,78,MissedShots,0.894000015258789,0.6509999847412109,0.1365872174501419,Neymar,h,2099,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Giovani Lo Celso,Throughball
163469,85,SavedShot,0.8780000305175781,0.6759999847412109,0.13469535112380981,Ángel Di María,h,3553,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Neymar,Throughball
163443,2,MissedShots,0.89,0.7330000305175781,0.03817955031991005,Nicolas de Preville,a,3244,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Younousse Sankhare,Chipped
163447,22,MissedShots,0.8719999694824219,0.3609999847412109,0.07104797661304474,Nicolas de Preville,a,3244,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Malcom,Pass
163448,30,Goal,0.905,0.515,0.44106540083885193,Younousse Sankhare,a,3474,FromCorner,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Nicolas de Preville,Pass
163449,31,MissedShots,0.57,0.35700000762939454,0.006111643277108669,Nicolas de Preville,a,3244,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,,BallRecovery
163450,35,MissedShots,0.9640000152587891,0.565,0.36235788464546204,Francois Kamano,a,3333,OpenPlay,2017,Head,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Igor Lewczuk,Chipped
163452,37,SavedShot,0.9130000305175782,0.3509999847412109,0.08139824122190475,Malcom,a,3262,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Nicolas de Preville,Pass
163456,45,SavedShot,0.7819999694824219,0.235,0.016023311764001846,Malcom,a,3262,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Igor Lewczuk,TakeOn
163457,49,MissedShots,0.735999984741211,0.6370000076293946,0.048073910176754,Nicolas de Preville,a,3244,DirectFreekick,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,,Standard
163458,51,MissedShots,0.7819999694824219,0.27899999618530275,0.012872926890850067,Nicolas de Preville,a,3244,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Malcom,Pass
163460,58,SavedShot,0.8469999694824218,0.7030000305175781,0.03729061782360077,Malcom,a,3262,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Francois Kamano,Pass
163461,62,MissedShots,0.8969999694824219,0.495,0.051625434309244156,Malcom,a,3262,OpenPlay,2017,Head,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Igor Lewczuk,Aerial
163463,68,BlockedShot,0.8490000152587891,0.69,0.036767490208148956,Otávio,a,6060,OpenPlay,2017,LeftFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Francois Kamano,TakeOn
163464,68,ShotOnPost,0.95,0.295,0.04536047577857971,Alexandre Mendy,a,3580,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,Malcom,Pass
163465,71,SavedShot,0.89,0.6669999694824219,0.047259435057640076,Francois Kamano,a,3333,OpenPlay,2017,RightFoot,8644,Paris Saint Germain,Bordeaux,6,2,2017-09-30 16:00:00,,None
