id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
86237,4,BlockedShot,0.7859999847412109,0.7419999694824219,0.016580862924456596,Faycal Fajr,h,2319,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Fernando Navarro,Pass
86238,4,MissedShots,0.7680000305175781,0.7709999847412109,0.014836329035460949,Luis Alberto,h,1219,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Faycal Fajr,Pass
86241,35,BlockedShot,0.909000015258789,0.4,0.1013793870806694,Juan Domínguez,h,2546,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Lucas Pérez,Pass
86242,35,ShotOnPost,0.9769999694824218,0.425,0.5242976546287537,Luis Alberto,h,1219,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,,Rebound
86244,41,SavedShot,0.915,0.7730000305175782,0.025067565962672234,Lucas Pérez,h,1700,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Luis Alberto,Pass
86245,41,ShotOnPost,0.85,0.62,0.05174574628472328,Luis Alberto,h,1219,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,,Rebound
86247,51,MissedShots,0.7559999847412109,0.30100000381469727,0.01424094196408987,Juan Domínguez,h,2546,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,,BallRecovery
86249,59,BlockedShot,0.8530000305175781,0.615,0.053937312215566635,Lucas Pérez,h,1700,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Alejandro Arribas,Pass
86251,70,BlockedShot,0.8390000152587891,0.6179999923706054,0.035112231969833374,Pedro Mosquera,h,2320,FromCorner,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Fede Cartabia,Cross
86252,71,MissedShots,0.9019999694824219,0.31,0.06262292712926865,Fede Cartabia,h,2318,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Oriol Riera,Pass
86253,78,MissedShots,0.8040000152587891,0.24899999618530275,0.012194887734949589,Juanfran,h,2316,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Faycal Fajr,Chipped
86254,79,Goal,0.905,0.39,0.07647145539522171,Lucas Pérez,h,1700,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Juanfran,Rebound
86255,80,MissedShots,0.915,0.5529999923706055,0.0392143540084362,Oriol Riera,h,2323,OpenPlay,2015,Head,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Juanfran,Aerial
86256,80,MissedShots,0.919000015258789,0.5420000076293945,0.08044476807117462,Oriol Riera,h,2323,OpenPlay,2015,LeftFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Lucas Pérez,BallTouch
86257,83,MissedShots,0.8859999847412109,0.47,0.026643749326467514,Celso Borges,h,2466,OpenPlay,2015,Head,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Juanfran,Aerial
86258,88,Goal,0.925,0.49400001525878906,0.12627682089805603,Alejandro Arribas,h,2315,OpenPlay,2015,Head,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Fede Cartabia,Cross
86259,92,MissedShots,0.8680000305175781,0.5370000076293945,0.04232161119580269,Alejandro Arribas,h,2315,SetPiece,2015,Head,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Fede Cartabia,Cross
86236,3,MissedShots,0.9669999694824218,0.6270000076293946,0.025145400315523148,Etxeita,a,2394,FromCorner,2015,Head,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Beñat,Cross
86239,6,MissedShots,0.9019999694824219,0.4370000076293945,0.08155947923660278,Aduriz,a,2410,SetPiece,2015,Head,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Beñat,Cross
86240,29,Goal,0.8830000305175781,0.37599998474121094,0.040462810546159744,Iñaki Williams,a,2399,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Balenziaga,Cross
86243,40,MissedShots,0.8590000152587891,0.14300000190734863,0.01973862014710903,San José,a,2395,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,,Interception
86246,49,BlockedShot,0.764000015258789,0.3240000152587891,0.027147388085722923,De Marcos,a,2452,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Raúl García,Pass
86248,57,MissedShots,0.8930000305175781,0.43099998474121093,0.05239943042397499,Raúl García,a,2400,FromCorner,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Beñat,Cross
86250,62,Goal,0.9030000305175782,0.42200000762939455,0.4301426112651825,Aduriz,a,2410,OpenPlay,2015,RightFoot,1477,Deportivo La Coruna,Athletic Club,2,2,2015-10-18 22:30:00,Raúl García,Throughball
