id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
117816,1,MissedShots,0.94,0.5179999923706055,0.08920934051275253,Andy Carroll,h,537,OpenPlay,2016,Head,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Michail Antonio,Aerial
117817,5,SavedShot,0.72,0.5370000076293945,0.015185561031103134,Dimitri Payet,h,536,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,BallRecovery
117818,7,MissedShots,0.7809999847412109,0.4279999923706055,0.03287981450557709,Manuel Lanzini,h,535,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Mark Noble,Pass
117819,19,MissedShots,0.8240000152587891,0.639000015258789,0.046607110649347305,Andy Carroll,h,537,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Chipped
117820,26,MissedShots,0.899000015258789,0.4759999847412109,0.020181501284241676,Winston Reid,h,529,FromCorner,2016,Head,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Aerial
117824,32,SavedShot,0.750999984741211,0.515,0.03369078412652016,Michail Antonio,h,531,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Andy Carroll,LayOff
117825,34,ShotOnPost,0.7519999694824219,0.6,0.02080276980996132,Pedro Obiang,h,542,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Pass
117826,39,MissedShots,0.8109999847412109,0.655,0.02904658578336239,Dimitri Payet,h,536,FromCorner,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Mark Noble,Pass
117827,44,BlockedShot,0.9119999694824219,0.68,0.06579256057739258,Aaron Cresswell,h,534,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Pass
117828,44,BlockedShot,0.865999984741211,0.705999984741211,0.04157059267163277,Dimitri Payet,h,536,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Manuel Lanzini,Pass
117829,44,ShotOnPost,0.8209999847412109,0.6869999694824219,0.027111399918794632,Mark Noble,h,533,FromCorner,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Pass
117830,46,SavedShot,0.86,0.5690000152587891,0.012024556286633015,Andy Carroll,h,537,FromCorner,2016,Head,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Aerial
117831,47,SavedShot,0.885,0.5,0.7611688375473022,Mark Noble,h,533,Penalty,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,Standard
117832,47,Goal,0.9730000305175781,0.4929999923706055,0.8970269560813904,Mark Noble,h,533,SetPiece,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,Rebound
117834,59,BlockedShot,0.7830000305175782,0.34799999237060547,0.034479498863220215,Andy Carroll,h,537,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,None
117835,60,SavedShot,0.899000015258789,0.5970000076293945,0.024825353175401688,Andy Carroll,h,537,FromCorner,2016,Head,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Cross
117838,62,MissedShots,0.9059999847412109,0.5270000076293946,0.0483454093337059,Michail Antonio,h,531,SetPiece,2016,OtherBodyPart,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Andy Carroll,Aerial
117839,63,SavedShot,0.7559999847412109,0.5879999923706055,0.027655724436044693,Manuel Lanzini,h,535,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Dimitri Payet,Pass
117841,80,MissedShots,0.769000015258789,0.6880000305175781,0.02291957475244999,Andy Carroll,h,537,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,None
117842,91,MissedShots,0.9369999694824219,0.35200000762939454,0.1024269089102745,André Ayew,h,713,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Ashley Fletcher,TakeOn
117821,28,MissedShots,0.725,0.6370000076293946,0.01171903032809496,Scott Arfield,a,1659,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,None
117822,30,BlockedShot,0.8219999694824218,0.5220000076293946,0.054482560604810715,Scott Arfield,a,1659,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,None
117823,30,BlockedShot,0.705,0.48,0.01590999774634838,Jeff Hendrick,a,1746,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Matthew Lowton,Pass
117833,50,MissedShots,0.9440000152587891,0.48900001525878906,0.1084260568022728,Sam Vokes,a,1661,SetPiece,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Michael Keane,HeadPass
117836,60,SavedShot,0.9290000152587891,0.6819999694824219,0.3257192075252533,Scott Arfield,a,1659,OpenPlay,2016,LeftFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Sam Vokes,TakeOn
117837,60,MissedShots,0.9540000152587891,0.47200000762939454,0.48619183897972107,Sam Vokes,a,1661,OpenPlay,2016,Head,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,Rebound
117840,71,SavedShot,0.750999984741211,0.5259999847412109,0.06529821455478668,Scott Arfield,a,1659,DirectFreekick,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,,Standard
117843,93,MissedShots,0.7119999694824218,0.5459999847412109,0.013968322426080704,Jeff Hendrick,a,1746,OpenPlay,2016,RightFoot,3129,West Ham,Burnley,1,0,2016-12-14 23:45:00,Scott Arfield,LayOff
