id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8636,Jonathan Christian David,19,1366,12,10.691338706761599,0,1.9690433945506811,36,17,1,0,F S,Lille,10,8.411053467541933,11.642399743199348,2.441294852644205
3210,Wissam Ben Yedder,19,1161,10,7.548313867300749,2,2.684418687596917,23,15,1,0,F S,Monaco,5,3.7478380911052227,7.699516972526908,1.4669011980295181
3423,Kylian Mbappe-Lottin,18,1529,10,11.597031477838755,8,6.109222233295441,67,34,4,0,F S,Paris Saint Germain,8,10.076841246336699,18.58629733324051,5.85856531187892
6905,Ludovic Ajorque,18,1451,10,9.071526557207108,6,3.9870968237519264,36,23,4,1,F S,Strasbourg,8,7.551336262375116,12.486232995986938,2.523951683193445
3746,Gaetan Laborde,20,1745,9,10.664238877594471,4,4.180920783430338,68,22,2,0,F M,"Montpellier,Rennes",9,10.664238877594471,14.596177926287055,2.0115702226758003
5611,Martin Terrier,19,1321,9,6.693310808390379,0,2.2407051268965006,39,16,0,0,F M,Rennes,9,6.693310808390379,12.24661572277546,6.044224366545677
6401,Amine Gouiri,21,1609,9,9.161484831944108,6,4.992748704738915,44,35,2,0,F M S,Nice,7,6.121104238554835,10.757917612791061,2.6526119764894247
9646,Mohamed Bayo,17,1354,9,7.3175457790493965,2,2.141691081225872,39,19,0,0,F S,Clermont Foot,8,6.557450629770756,8.964278005063534,1.8755088690668344
3530,Andy Delort,19,1419,8,9.229847775772214,2,4.373159468173981,63,30,3,0,F S,"Montpellier,Nice",7,8.469818221405149,11.921978110447526,2.04175516217947
5769,Habib Diallo,17,988,8,7.185524487867951,1,2.64056346565485,32,10,2,0,F S,Strasbourg,7,6.425429338589311,9.328994216397405,2.1316313669085503
8995,Hugo Ekitike,17,875,8,6.2683118879795074,2,0.998221074230969,21,9,1,1,F M S,Reims,7,5.5082167983055115,6.5406529158353806,0.7569676311686635
536,Dimitri Payet,16,1382,7,4.437337253242731,8,7.195347540080547,39,64,1,0,F M S,Marseille,5,2.9171469770371914,11.449370354413986,4.82954053580761
734,Wahbi Khazri,19,1540,7,4.049104947596788,0,2.1958958357572556,40,24,3,0,F M S,Saint-Etienne,4,1.768819510936737,3.489976815879345,0.9849331667646766
3475,Ludovic Blas,19,1662,7,5.5847785491496325,1,2.2760859578847885,47,20,5,0,F M,Nantes,5,4.064588250592351,8.600492497906089,2.6701109893620014
5743,Randal Kolo Muani,20,1692,7,6.7619102988392115,2,1.8256087293848395,28,15,2,0,F M S,Nantes,7,6.7619102988392115,8.90641031600535,1.249697994440794
6420,Romain Faivre,19,1629,7,6.173064548522234,5,3.23715927824378,37,36,1,0,M S,Brest,2,2.372588872909546,6.857021391391754,3.0262032467871904
7365,Lucas Paquetá,18,1292,7,6.664247021079063,3,1.567603413015604,51,20,3,0,F M S,Lyon,6,5.904151879251003,11.232886519283056,4.9462634809315205
10029,Alberth Elis,12,931,7,4.760232802480459,0,1.4509803839027882,19,13,2,0,F M S,Bordeaux,7,4.760232802480459,6.564956557005644,1.0258124182000756
3314,Franck Honorat,20,1734,6,2.9338272009044886,3,4.73746360745281,38,37,3,0,F M,Brest,6,2.9338272009044886,8.912888505496085,2.571819059550762
3549,Adrien Thomasson,17,1279,6,4.9538892433047295,2,2.5816677026450634,30,16,1,1,M S,Strasbourg,6,4.9538892433047295,11.590385340154171,5.263691542670131
7484,Stephy Mavididi,18,1489,6,4.111098945140839,3,2.1988387247547507,37,16,1,0,F M S,Montpellier,6,4.111098945140839,6.936096517369151,1.2345054913312197
7746,Hwang Ui-Jo,15,1189,6,4.568984476849437,2,0.7669785618782043,25,6,0,0,F S,Bordeaux,6,4.568984476849437,5.991117522120476,0.8333774022758007
8025,Kasper Dolberg,16,934,6,5.558222934603691,1,0.2964308997616172,26,6,0,0,F S,Nice,4,4.0380326397717,4.352855861186981,1.1518475580960512
8056,Arnaud Kalimuendo Muinga,17,1018,6,4.363064019009471,0,1.0153224198147655,27,10,1,1,F S,"Lens,Paris Saint Germain",5,3.6029688995331526,5.634746380150318,1.6808112347498536
83,Kevin Volland,18,1293,5,4.236111601814628,5,2.245839010924101,29,14,6,0,F M S,Monaco,4,3.4760164823383093,6.572175739333034,2.1855229418724775
1144,Seko Fofana,20,1784,5,3.76427857298404,0,1.7687819749116898,54,26,1,0,M,Lens,5,3.76427857298404,10.835585936903954,6.158360630273819
1734,Sofiane Boufal,18,1452,5,5.454294006340206,3,4.535357188433409,37,34,4,0,F M S,Angers,3,3.9341037375852466,6.925809850916266,1.848842404782772
3799,Wesley Said,10,358,5,4.007423356175423,0,0.9422226697206497,18,10,2,0,F M S,Lens,5,4.007423356175423,6.088216632604599,1.7371622174978256
5657,Karl Toko Ekambi,17,1240,5,5.373082704842091,2,3.3287201151251793,36,23,2,0,F M S,Lyon,3,3.852892406284809,8.743313029408455,2.847028784453869
6162,Cengiz Ünder,15,1098,5,3.439350726082921,0,1.807241065427661,35,18,0,1,F M S,Marseille,5,3.439350726082921,7.705241117626429,2.979379428550601
6846,Sofiane Diop,19,1315,5,3.6450952775776386,2,1.7235683631151915,24,24,5,0,F M S,Monaco,5,3.6450952775776386,8.05885836854577,3.243948372080922
6863,Téji Savanier,16,1382,5,2.9482439514249563,6,3.0770604107528925,46,32,4,1,M,Montpellier,4,2.188148820772767,6.363536912947893,3.5323760230094194
8637,Burak Yilmaz,17,1318,5,7.925722571089864,3,4.014352772384882,44,16,6,0,F S,Lille,3,6.405532302334905,9.18383364751935,1.2969895377755165
