Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Zenit St. Petersburg,17,11,4,2,43,19,37,38.74,34.22,17.18,14.16,20.05,10.46,14.74,210,85,35.05
Dinamo Moscow,17,11,2,4,32,19,35,27.47,22.94,15.89,14.38,8.56,10.19,15.88,101,72,31.14
CSKA Moscow,18,9,3,6,21,16,30,23.11,21.6,23.55,22.04,-0.44,12.2,16.01,137,113,23.94
FC Krasnodar,17,8,4,5,29,18,28,34.6,27.06,18.44,16.93,10.13,8.18,13.9,183,84,34.22
PFC Sochi,17,9,1,7,27,21,28,27.35,25.84,19.45,17.94,7.9,11.41,13.42,159,117,30.07
Krylya Sovetov Samara,18,8,3,7,22,18,27,24.47,22.96,21.32,18.3,4.66,17.07,14.58,110,132,28.21
Lokomotiv Moscow,17,6,7,4,22,19,25,16.31,15.56,18.59,16.33,-0.77,7.87,9.71,119,104,21.23
FK Akhmat,17,8,0,9,20,23,24,21.94,20.44,16.79,16.0,4.44,9.83,9.12,139,100,26.58
Spartak Moscow,17,6,5,6,20,23,23,20.54,17.48,18.61,17.1,0.38,9.74,10.01,114,86,26.83
Rubin Kazan,18,6,4,8,23,27,22,16.11,13.85,27.55,24.53,-10.68,11.46,10.29,83,171,17.39
Ural,18,4,7,7,12,18,19,14.53,13.02,25.07,22.8,-9.78,10.69,7.97,94,134,16.56
Arsenal Tula,18,5,4,9,21,35,19,14.48,14.48,30.4,25.87,-11.39,13.88,8.75,82,191,14.45
FC Rostov,18,4,6,8,30,35,18,21.85,18.08,25.31,19.27,-1.2,10.4,10.72,99,134,20.9
Nizhny Novgorod,17,5,3,9,18,30,18,14.74,11.73,29.86,25.33,-13.61,17.29,8.2,52,144,14.72
FC Ufa,17,3,7,7,17,24,16,19.9,16.13,24.34,19.82,-3.69,13.19,10.83,116,118,21.08
Khimki,17,2,8,7,15,27,14,19.95,16.18,23.78,20.77,-4.58,10.56,11.23,127,140,21.28
