Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Paris Saint Germain,25,18,5,2,53,22,59,52.68,49.64,25.09,24.33,25.3,9.0,18.62,255,100,52.86
Nice,25,14,4,7,37,21,46,41.34,35.26,29.44,27.16,8.1,12.39,13.75,113,136,42.01
Marseille,25,13,7,5,38,23,46,37.93,35.65,29.02,26.74,8.91,11.76,18.25,176,98,41.8
Rennes,26,13,4,9,51,25,43,49.11,47.59,28.02,25.74,21.85,10.03,15.83,211,99,45.77
Strasbourg,25,12,6,7,48,31,42,42.25,38.45,31.43,29.15,9.3,11.92,12.86,165,91,41.35
Lyon,25,10,9,6,34,31,39,43.45,38.13,35.88,32.84,5.29,8.69,14.68,181,131,39.42
Monaco,25,10,8,7,38,27,38,38.61,33.29,26.84,21.52,11.76,7.5,14.11,198,81,42.48
Nantes,25,11,5,9,34,29,38,27.66,25.38,33.71,31.43,-6.05,13.02,10.48,98,165,28.93
Lens,25,10,7,8,40,36,37,37.48,34.44,29.3,27.02,7.42,12.2,14.4,137,131,38.83
Montpellier,26,11,4,11,41,38,37,29.48,28.72,35.5,34.74,-6.03,12.88,10.05,107,172,32.54
Lille,25,9,9,7,32,35,36,38.95,35.15,25.38,23.1,12.05,11.77,11.65,159,126,44.82
Brest,25,8,8,9,34,37,32,32.44,27.1,36.05,35.29,-8.19,16.6,10.47,119,157,33.97
Angers,25,7,8,10,30,36,29,30.75,25.43,32.53,28.73,-3.3,13.01,10.94,84,105,33.63
Reims,25,6,10,9,28,29,28,25.19,22.0,30.64,26.06,-4.07,13.24,8.43,97,121,30.54
Clermont Foot,25,7,6,12,26,41,27,25.66,24.9,36.59,34.31,-9.41,13.89,10.54,85,150,27.59
Saint-Etienne,25,5,7,13,26,47,22,25.57,23.29,40.19,37.15,-13.86,9.87,9.71,92,127,26.2
Troyes,25,5,6,14,22,40,21,22.43,22.43,39.26,34.7,-12.27,14.84,9.61,97,172,23.59
Lorient,25,4,9,12,20,39,21,23.35,21.83,34.82,31.02,-9.19,13.84,9.52,97,134,26.05
Metz,25,4,9,12,25,45,21,19.93,19.17,44.5,41.46,-22.29,14.45,9.5,55,163,18.0
Bordeaux,25,4,9,12,37,62,21,27.97,27.21,48.03,42.56,-15.35,12.5,10.78,105,172,21.93
