Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Real Madrid,21,15,4,2,45,18,49,40.53,39.04,23.77,22.18,16.86,10.91,13.31,261,111,39.16
Sevilla,20,13,5,2,31,13,44,24.98,24.24,20.03,18.55,5.69,8.9,14.75,104,84,31.23
Real Betis,20,10,4,6,33,24,34,29.41,27.18,25.92,24.44,2.74,9.93,10.5,160,96,29.91
Atletico Madrid,20,9,6,5,33,24,33,31.81,31.06,17.48,14.5,16.56,10.41,12.1,149,75,38.21
Real Sociedad,20,9,6,5,22,21,33,25.66,21.94,22.33,20.1,1.83,8.75,10.42,140,90,31.12
Barcelona,20,8,8,4,31,23,32,36.27,32.55,19.09,19.09,13.46,6.88,12.83,153,79,39.15
Rayo Vallecano,20,9,4,7,27,21,31,26.08,23.85,27.73,21.78,2.07,8.17,7.62,91,116,27.83
Villarreal,20,7,8,5,33,22,29,37.45,35.96,23.48,20.5,15.46,7.26,11.86,182,87,35.68
Athletic Club,21,6,10,5,20,17,28,31.24,29.01,20.2,18.71,10.29,9.3,10.04,143,104,34.89
Valencia,20,7,7,6,32,32,28,26.16,21.6,28.74,24.89,-3.28,9.05,6.46,104,125,27.06
Espanyol,20,7,5,8,23,24,26,22.18,19.21,27.56,26.81,-7.6,12.74,8.4,74,167,23.48
Osasuna,20,6,7,7,20,25,25,22.04,18.32,22.32,20.84,-2.51,9.05,10.09,104,112,26.68
Granada,20,5,9,6,24,27,24,20.17,18.69,30.81,28.58,-9.89,10.78,8.39,74,147,19.88
Celta Vigo,20,6,5,9,22,23,23,23.17,19.94,26.52,23.45,-3.5,7.11,10.53,115,105,25.6
Mallorca,20,4,8,8,17,30,20,20.55,19.06,28.5,26.27,-7.2,9.25,6.39,85,124,20.88
Elche,20,4,7,9,20,28,19,18.79,18.05,30.28,26.53,-8.48,12.63,8.61,70,126,18.9
Getafe,20,4,6,10,13,21,18,14.34,13.6,23.45,21.22,-7.62,10.26,7.97,64,99,19.9
Alaves,20,4,5,11,16,30,17,19.71,15.99,30.08,26.86,-10.87,11.25,7.38,75,152,21.23
Cadiz,20,2,8,10,15,34,14,18.54,14.69,34.79,31.07,-16.37,14.26,6.75,51,175,17.14
Levante,20,1,8,11,21,41,11,24.9,20.31,30.92,27.94,-7.64,9.73,9.67,82,107,25.38
