id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
14173,True,117,Bayern Munich,BAY,124,Schalke 04,SCH,8,0,4.62088,0.14975,2020-09-18 18:30:00,0.9948,0.0046,0.0006
14174,True,132,Eintracht Frankfurt,EIN,262,Arminia Bielefeld,ARM,1,1,2.46928,0.618787,2020-09-19 13:30:00,0.8454,0.1158,0.0388
14175,True,240,Union Berlin,UNI,121,Augsburg,AUG,1,3,1.04515,1.42046,2020-09-19 13:30:00,0.243,0.2882,0.4688
14176,True,134,FC Cologne,COL,120,Hoffenheim,HOF,2,3,2.40801,2.9032,2020-09-19 13:30:00,0.2453,0.253,0.5017
14177,True,123,Werder Bremen,WER,122,Hertha Berlin,HER,1,4,0.495892,2.05406,2020-09-19 13:30:00,0.0616,0.1641,0.7743
14178,True,133,VfB Stuttgart,STU,135,Freiburg,FRE,2,3,2.15741,2.07011,2020-09-19 13:30:00,0.3889,0.2421,0.369
14179,True,129,Borussia Dortmund,DOR,130,Borussia M.Gladbach,BMG,3,0,1.70398,0.510293,2020-09-19 16:30:00,0.7372,0.2031,0.0597
14180,True,136,RasenBallsport Leipzig,RBL,125,Mainz 05,MAI,3,1,3.22891,1.07201,2020-09-20 13:30:00,0.8409,0.1113,0.0478
14181,True,131,Wolfsburg,WOL,119,Bayer Leverkusen,LEV,0,0,1.27652,0.441229,2020-09-20 16:00:00,0.6238,0.2774,0.0988
14182,True,122,Hertha Berlin,HER,132,Eintracht Frankfurt,EIN,1,3,1.55994,1.62111,2020-09-25 18:30:00,0.3391,0.2951,0.3658
14183,True,125,Mainz 05,MAI,133,VfB Stuttgart,STU,1,4,1.04484,2.9689,2020-09-26 13:30:00,0.0465,0.1219,0.8316
14184,True,121,Augsburg,AUG,129,Borussia Dortmund,DOR,2,0,1.44779,1.5267,2020-09-26 13:30:00,0.3505,0.273,0.3765
