Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-PRXG,Vendég-PRXG,PRXG-diff,PRXG-diff-darabszám,H%,D%,A%,Több mint 3,3,2,1,0,-1,-2,-3,Több mint -3
2022-02-20 16:30:00,16635,Wolverhampton Wanderers,Leicester,10.708,11.040,-0.3,717,39%,28%,33%,4%,7%,10%,19%,28%,16%,10%,4%,2%
2022-02-20 17:00:00,17009,Inter,Sassuolo,10.888,10.217,0.7,587,47%,24%,29%,6%,6%,14%,21%,24%,15%,8%,4%,2%
2022-02-20 17:30:00,17377,Real Betis,Mallorca,10.715,10.318,0.4,696,46%,23%,31%,4%,7%,13%,22%,23%,17%,9%,4%,1%
2022-02-20 18:30:00,17716,Hertha Berlin,RasenBallsport Leipzig,10.155,9.145,1.0,443,44%,25%,31%,5%,7%,14%,18%,25%,17%,10%,1%,2%
2022-02-20 19:45:00,18071,Marseille,Clermont Foot,10.398,10.184,0.2,753,45%,24%,31%,5%,6%,10%,23%,24%,16%,9%,3%,2%
2022-02-20 19:45:00,17014,Udinese,Lazio,10.761,10.798,-0.0,827,47%,25%,28%,4%,7%,15%,21%,25%,15%,9%,3%,1%
2022-02-20 20:00:00,17376,Athletic Club,Real Sociedad,9.939,9.421,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-21 18:00:00,17007,Cagliari,Napoli,9.310,9.744,-0.4,611,40%,26%,34%,3%,5%,13%,20%,26%,18%,9%,5%,2%
2022-02-21 20:00:00,17378,Celta Vigo,Levante,10.473,9.137,1.3,246,47%,25%,28%,4%,7%,15%,21%,25%,17%,7%,1%,2%
2022-02-21 20:00:00,17006,Bologna,Spezia,10.664,10.859,-0.2,694,41%,25%,33%,4%,4%,13%,20%,25%,18%,8%,6%,2%
2022-02-26 11:00:00,16286,Nizhny Novgorod,Ural,10.582,11.209,-0.6,536,40%,28%,32%,6%,5%,10%,19%,28%,18%,10%,3%,1%
2022-02-26 11:00:00,16287,Khimki,Dinamo Moscow,9.625,10.849,-1.2,180,41%,24%,35%,2%,6%,12%,21%,24%,19%,11%,4%,2%
2022-02-26 13:30:00,16285,PFC Sochi,Arsenal Tula,10.355,10.114,0.2,753,45%,24%,31%,5%,6%,10%,23%,24%,16%,9%,3%,2%
2022-02-26 16:00:00,16281,Spartak Moscow,CSKA Moscow,9.838,9.986,-0.1,742,43%,25%,32%,5%,7%,12%,20%,25%,16%,10%,4%,2%
2022-02-27 11:00:00,16282,FC Rostov,Krylya Sovetov Samara,9.857,9.906,-0.0,827,47%,25%,28%,4%,7%,15%,21%,25%,15%,9%,3%,1%
2022-02-27 13:30:00,16283,FC Krasnodar,Lokomotiv Moscow,9.734,10.345,-0.6,536,40%,28%,32%,6%,5%,10%,19%,28%,18%,10%,3%,1%
2022-02-27 16:00:00,16284,FK Akhmat,FC Ufa,9.486,9.679,-0.2,694,41%,25%,33%,4%,4%,13%,20%,25%,18%,8%,6%,2%
2022-02-28 16:00:00,16280,Zenit St. Petersburg,Rubin Kazan,10.332,10.354,-0.0,827,47%,25%,28%,4%,7%,15%,21%,25%,15%,9%,3%,1%
