Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-PR,Vendég-PR,PR-diff,PR-diff-darabszám,H%,D%,A%,Több mint -3,-3,-2,-1,0,1,2,3,Több mint 3
2021-12-12 14:00:00,17994,Angers,Clermont Foot,10.0912,9.7034,0.4,414,52%,27%,21%,1%,3%,4%,14%,27%,27%,14%,6%,5%
2021-12-12 14:00:00,17997,Troyes,Bordeaux,9.6550,9.5126,0.1,393,46%,23%,32%,1%,4%,8%,19%,23%,27%,11%,5%,3%
2021-12-12 14:00:00,18001,Metz,Lorient,9.0423,8.5826,0.5,433,47%,26%,27%,1%,3%,8%,15%,26%,24%,14%,6%,3%
2021-12-12 14:00:00,16918,Verona,Atalanta,10.4859,12.8599,-2.4,113,22%,30%,48%,4%,6%,18%,19%,30%,9%,8%,3%,3%
2021-12-12 14:30:00,17642,Greuther Fuerth,Union Berlin,6.6435,10.6414,-4.0,8,0%,25%,75%,12%,12%,25%,25%,25%,0%,0%,0%,0%
2021-12-12 15:15:00,17302,Osasuna,Barcelona,9.8294,10.5058,-0.7,418,39%,27%,34%,3%,3%,10%,18%,27%,22%,12%,4%,1%
2021-12-12 16:00:00,17992,Strasbourg,Marseille,11.6347,10.6056,1.0,311,49%,27%,24%,0%,2%,6%,16%,27%,19%,15%,7%,7%
2021-12-12 16:00:00,16273,FC Krasnodar,Nizhny Novgorod,11.1041,10.0607,1.0,311,49%,27%,24%,0%,2%,6%,16%,27%,19%,15%,7%,7%
2021-12-12 16:00:00,16277,Lokomotiv Moscow,FC Ufa,9.3134,10.1308,-0.8,404,35%,28%,37%,2%,5%,9%,20%,28%,21%,10%,3%,1%
2021-12-12 16:30:00,17647,Eintracht Frankfurt,Bayer Leverkusen,10.9116,11.9729,-1.1,369,35%,30%,35%,4%,3%,12%,16%,30%,18%,11%,4%,2%
2021-12-12 16:30:00,16531,Crystal Palace,Everton,9.8712,9.5266,0.3,412,44%,25%,31%,1%,3%,8%,19%,25%,22%,12%,6%,5%
2021-12-12 17:00:00,16920,Napoli,Empoli,11.4912,11.1151,0.4,414,52%,27%,21%,1%,3%,4%,14%,27%,27%,14%,6%,5%
2021-12-12 17:00:00,16922,Sassuolo,Lazio,10.9749,10.7012,0.3,412,44%,25%,31%,1%,3%,8%,19%,25%,22%,12%,6%,5%
2021-12-12 17:30:00,17298,Real Betis,Real Sociedad,11.0510,10.4121,0.6,367,49%,27%,24%,1%,3%,4%,16%,27%,20%,13%,10%,6%
2021-12-12 19:45:00,17999,Paris Saint Germain,Monaco,10.9322,11.5596,-0.6,363,37%,23%,39%,3%,3%,15%,17%,23%,19%,10%,4%,4%
2021-12-12 19:45:00,16919,Inter,Cagliari,11.9828,10.5466,1.4,222,58%,24%,18%,1%,1%,4%,11%,24%,26%,16%,10%,7%
2021-12-12 20:00:00,17303,Real Madrid,Atletico Madrid,12.2245,10.9724,1.3,298,56%,23%,20%,1%,1%,5%,14%,23%,25%,15%,9%,7%
2021-12-13 16:00:00,16279,PFC Sochi,Spartak Moscow,10.6805,10.5231,0.2,346,49%,24%,26%,1%,2%,6%,17%,24%,22%,16%,6%,5%
2021-12-13 19:45:00,16921,Roma,Spezia,10.0289,10.4606,-0.4,404,46%,27%,27%,1%,2%,8%,16%,27%,26%,13%,5%,2%
2021-12-13 20:00:00,17300,Cadiz,Granada,8.3573,10.2611,-1.9,138,21%,33%,46%,4%,6%,11%,25%,33%,11%,6%,2%,2%
