Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-PR,Vendég-PR,PR-diff,PR-diff-darabszám,H%,D%,A%,Több mint 3,3,2,1,0,-1,-2,-3,Több mint -3
2021-12-19 14:00:00,16555,Wolverhampton Wanderers,Chelsea,10.909,11.036,-0.1,384,39%,25%,36%,2%,4%,9%,21%,25%,21%,13%,4%,2%
2021-12-19 17:00:00,16933,Sampdoria,Venezia,10.175,9.838,0.3,392,48%,27%,26%,1%,3%,8%,14%,27%,26%,13%,6%,4%
2021-12-20 20:00:00,17314,Levante,Valencia,9.471,10.748,-1.3,306,36%,24%,40%,4%,7%,11%,18%,24%,19%,11%,4%,2%
2021-12-21 17:30:00,16944,Udinese,Salernitana,10.150,8.922,1.2,292,55%,26%,19%,0%,1%,4%,13%,26%,25%,15%,10%,5%
2021-12-22 19:45:00,18010,Saint-Etienne,Nantes,8.795,10.183,-1.4,318,31%,24%,44%,4%,7%,12%,21%,24%,17%,9%,3%,2%
2022-01-09 06:00:00,17326,Alaves,Athletic Club,9.877,10.173,-0.3,386,41%,26%,33%,3%,3%,12%,16%,26%,20%,13%,5%,3%
2022-01-09 06:00:00,17333,Sevilla,Getafe,11.157,10.347,0.8,322,56%,23%,21%,0%,2%,7%,12%,23%,25%,16%,9%,7%
2022-01-15 06:30:00,17686,Borussia Dortmund,Freiburg,11.092,11.457,-0.4,391,48%,25%,27%,1%,2%,9%,15%,25%,24%,13%,7%,4%
2022-01-16 06:00:00,16968,Fiorentina,Genoa,11.790,8.784,3.0,61,49%,36%,15%,0%,2%,3%,10%,36%,25%,11%,7%,7%
2022-01-23 06:00:00,16982,AC Milan,Juventus,10.934,10.925,0.0,492,43%,27%,29%,1%,4%,6%,19%,27%,21%,11%,8%,4%
2022-02-20 04:00:00,18064,Reims,Brest,10.134,10.144,-0.0,494,44%,27%,29%,1%,4%,6%,19%,27%,21%,11%,7%,4%
2022-02-24 16:00:00,16280,Zenit St. Petersburg,Rubin Kazan,12.005,9.885,2.1,123,64%,20%,15%,0%,1%,2%,13%,20%,24%,16%,13%,11%
2022-02-24 16:00:00,16282,FC Rostov,Krylya Sovetov Samara,10.322,10.759,-0.4,391,48%,25%,27%,1%,2%,9%,15%,25%,24%,13%,7%,4%
2022-02-26 07:00:00,16636,Arsenal,Liverpool,10.530,12.228,-1.7,156,28%,24%,47%,4%,13%,11%,19%,24%,13%,7%,4%,4%
2022-03-10 16:00:00,16300,Arsenal Tula,Dinamo Moscow,9.976,11.741,-1.8,183,30%,26%,45%,3%,7%,9%,26%,26%,19%,7%,2%,2%
2022-03-12 07:00:00,16664,Southampton,Watford,9.128,9.663,-0.5,420,40%,26%,34%,2%,3%,10%,19%,26%,21%,12%,5%,2%
2022-03-31 15:00:00,16315,CSKA Moscow,Ural,11.000,11.903,-0.9,374,34%,29%,37%,3%,2%,10%,22%,29%,20%,9%,4%,2%
2022-04-17 05:00:00,17455,Elche,Mallorca,9.923,10.314,-0.4,391,48%,25%,27%,1%,2%,9%,15%,25%,24%,13%,7%,4%
2022-04-20 03:00:00,18145,Lens,Montpellier,10.047,12.025,-2.0,168,29%,22%,49%,4%,7%,13%,26%,22%,18%,7%,3%,1%
