Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-XG,Vendég-XG,XG-diff,XG-diff-darabszám,H%,D%,A%,Több mint 3,3,2,1,0,-1,-2,-3,Több mint -3
2022-01-19 20:00:00,17340,Celta Vigo,Osasuna,10.061,9.828,0.2,678,43%,28%,29%,4%,5%,13%,22%,28%,16%,8%,3%,1%
2022-01-19 20:00:00,17341,Mallorca,Real Sociedad,9.653,10.345,-0.7,444,32%,28%,39%,1%,3%,10%,19%,28%,24%,9%,3%,3%
2022-01-19 20:00:00,17342,Getafe,Granada,10.117,9.956,0.2,678,43%,28%,29%,4%,5%,13%,22%,28%,16%,8%,3%,1%
2022-01-19 20:00:00,17343,Cadiz,Espanyol,8.291,9.963,-1.7,118,22%,18%,60%,0%,3%,3%,16%,18%,28%,16%,8%,8%
2022-01-19 20:00:00,17344,Valencia,Sevilla,9.194,9.903,-0.7,444,32%,28%,39%,1%,3%,10%,19%,28%,24%,9%,3%,3%
2022-01-19 20:00:00,17345,Elche,Villarreal,9.727,12.117,-2.4,27,0%,30%,70%,0%,0%,0%,0%,30%,22%,19%,11%,19%
2022-02-24 16:00:00,16280,Zenit St. Petersburg,Rubin Kazan,11.640,9.642,2.0,89,72%,21%,7%,8%,17%,28%,19%,21%,3%,2%,1%,0%
2022-02-24 16:00:00,16281,Spartak Moscow,CSKA Moscow,10.279,10.912,-0.6,491,35%,29%,36%,2%,4%,8%,21%,29%,19%,12%,4%,1%
2022-02-24 16:00:00,16282,FC Rostov,Krylya Sovetov Samara,10.427,10.646,-0.2,614,38%,31%,31%,1%,4%,11%,22%,31%,17%,10%,4%,1%
2022-02-24 16:00:00,16283,FC Krasnodar,Lokomotiv Moscow,11.089,9.530,1.6,166,69%,19%,12%,10%,13%,20%,26%,19%,8%,4%,1%,0%
2022-02-24 16:00:00,16284,FK Akhmat,FC Ufa,11.574,10.222,1.4,223,67%,17%,16%,10%,12%,19%,26%,17%,10%,4%,1%,0%
2022-02-24 16:00:00,16285,PFC Sochi,Arsenal Tula,10.722,9.971,0.8,478,57%,25%,18%,5%,9%,17%,27%,25%,11%,5%,1%,0%
2022-02-24 16:00:00,16286,Nizhny Novgorod,Ural,9.847,10.887,-1.0,333,27%,28%,44%,3%,2%,7%,16%,28%,22%,12%,8%,2%
2022-02-24 16:00:00,16287,Khimki,Dinamo Moscow,9.763,10.569,-0.8,425,34%,22%,44%,1%,3%,6%,24%,22%,25%,10%,7%,2%
