Dátum,Meccs-Id,Hazai-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Hazai-PR,Ellenfél-PR,PR-diff,Hazai-xgPR,Ellenfél-xgPR,Hazai-Mixed-PR,Ellenfél-Mixed-PR,H%,D%,A%,ForeCast-W,ForeCast-D,ForeCast-A
2014-09-20 14:30:00,5423,Schalke 04,Eintracht Frankfurt,2,2,1.78008,0.83546,9.1914,9.6055,-0.4141,9.9326,9.5717,9.4503,9.6392,,,,0.6483,0.2235,0.1282
2014-09-20 14:30:00,5424,Paderborn,Hannover 96,2,0,2.05175,0.550873,10.9336,10.0508,0.8828,9.9792,9.6820,10.6380,10.1696,,,,0.7831,0.1507,0.0662
2014-09-20 14:30:00,5425,Augsburg,Werder Bremen,4,2,2.91201,2.02462,10.3281,9.8594,0.4687,9.9518,10.2366,10.7045,9.9821,,,,0.5838,0.2218,0.1944
2014-09-20 17:30:00,5426,Mainz 05,Borussia Dortmund,2,0,0.974914,2.10376,10.8281,9.8907,0.9374,10.1924,10.9446,10.4638,9.0866,,,,0.0976,0.2129,0.6895
2014-09-21 14:30:00,5427,Wolfsburg,Bayer Leverkusen,4,1,1.55879,0.616799,10.8203,9.7734,1.0469,10.1843,9.9734,10.9564,9.3234,,,,0.6565,0.2359,0.1076
2014-09-21 16:30:00,5428,FC Cologne,Borussia M.Gladbach,0,0,0.551855,0.772177,10.5820,10.7461,-0.1641,10.0878,10.6907,10.5762,10.0515,,,,0.2324,0.3899,0.3777
2014-09-23 19:00:00,5429,Hoffenheim,Freiburg,3,3,1.81502,2.44871,10.0918,9.6660,0.4258,8.7775,10.5087,10.4060,9.5734,,,,0.2016,0.2541,0.5443
2014-09-23 19:00:00,5430,Bayern Munich,Paderborn,4,0,3.48286,0.402844,11.2402,9.8692,1.3710,11.0899,9.1447,9.6406,10.3436,,,,0.9669,0.028,0.0051
2014-09-23 19:00:00,5431,Werder Bremen,Schalke 04,0,3,0.992105,1.36741,8.8174,10.2334,-1.4160,9.8508,10.3184,9.0339,10.3985,,,,0.2427,0.3009,0.4564
2014-09-23 19:00:00,5432,Eintracht Frankfurt,Mainz 05,2,2,1.45137,1.09799,9.7861,10.6475,-0.8614,9.8407,9.9234,9.7315,10.3715,,,,0.4354,0.2962,0.2684
2014-09-24 19:00:00,5433,Borussia Dortmund,VfB Stuttgart,2,2,2.13683,1.48044,9.5059,9.2364,0.2695,10.7239,9.7494,8.5377,10.2234,,,,0.5251,0.2426,0.2323
2014-09-24 19:00:00,5434,Bayer Leverkusen,Augsburg,1,0,1.65235,0.571159,10.0371,10.0644,-0.0273,10.2574,9.6678,9.3168,10.7111,,,,0.6948,0.2178,0.0874
2014-09-24 19:00:00,5435,Borussia M.Gladbach,Hamburger SV,1,0,2.38906,0.560569,10.5039,9.5195,0.9844,10.6556,9.8324,9.3522,10.7066,,,,0.8629,0.1071,0.03
2014-09-24 19:00:00,5436,Hannover 96,FC Cologne,1,0,0.408032,0.695122,10.3086,10.3242,-0.0156,9.6180,10.1518,10.4992,10.2466,,,,0.1754,0.4186,0.406
2014-09-24 19:00:00,5437,Hertha Berlin,Wolfsburg,1,0,0.428365,0.855691,9.8262,10.3222,-0.4960,9.8465,10.0431,10.5559,10.3515,,,,0.1688,0.3929,0.4383
2014-09-26 19:30:00,5438,Mainz 05,Hoffenheim,0,0,0.614332,1.08667,10.3836,10.3557,0.0279,9.5414,9.1595,10.2257,10.5518,,,,0.1963,0.3225,0.4812
2014-09-27 14:30:00,5439,Freiburg,Bayer Leverkusen,0,0,0.722358,1.17679,9.6338,10.0693,-0.4355,10.3629,10.4032,9.6548,9.2354,,,,0.2093,0.3169,0.4738
2014-09-27 14:30:00,5440,VfB Stuttgart,Hannover 96,1,0,0.826395,0.853246,9.6295,9.9155,-0.2860,9.8857,9.4817,10.6232,10.0994,,,,0.2981,0.3667,0.3352
2014-09-27 14:30:00,5441,Schalke 04,Borussia Dortmund,2,1,1.07746,0.662005,10.1765,9.5628,0.6137,10.1154,10.9269,10.2378,8.6984,,,,0.4737,0.3291,0.1972
2014-09-27 14:30:00,5442,FC Cologne,Bayern Munich,0,2,0.821798,3.46966,9.9282,11.6362,-1.7080,9.5938,11.6479,10.5126,9.3746,,,,0.0172,0.0673,0.9155
2014-09-27 14:30:00,5443,Paderborn,Borussia M.Gladbach,1,2,1.5747,1.43504,9.6529,10.7202,-1.0673,9.2133,10.5870,10.0924,9.6034,,,,0.3882,0.2712,0.3406
2014-09-27 17:30:00,5444,Wolfsburg,Werder Bremen,2,1,1.24302,0.32535,10.0710,9.0686,1.0024,9.7713,10.1226,9.8709,9.5145,,,,0.6246,0.2844,0.091
2014-09-28 14:30:00,5445,Augsburg,Hertha Berlin,1,0,1.25743,0.283655,10.1299,9.7607,0.3692,9.7267,9.7876,10.5331,10.7339,,,,0.7081,0.2383,0.0536
