Dátum,Meccs-Id,Hazai-Id,Hazai Csapat,Ellenfél-Id,Ellenfél,Hazai Gól,Ellenfél Gól,Hazai_PR,Ellenfél_PR,Hazai XG,Ellenfél XG
2014-08-23 14:30:00,5450,123,Werder Bremen,122,Hertha Berlin,2,2,,,1.19453,1.75585
2014-08-30 14:30:00,5457,123,Werder Bremen,120,Hoffenheim,1,1,,,2.51429,1.29948
2014-09-12 19:30:00,5411,123,Werder Bremen,119,Bayer Leverkusen,3,3,,,1.72618,1.98321
2014-09-20 14:30:00,5425,123,Werder Bremen,121,Augsburg,2,4,,,2.02462,2.91201
2014-09-23 19:00:00,5431,123,Werder Bremen,124,Schalke 04,0,3,,,0.992105,1.36741
2014-09-27 17:30:00,5444,123,Werder Bremen,131,Wolfsburg,1,2,,,0.32535,1.24302
2014-10-04 14:30:00,5384,123,Werder Bremen,135,Freiburg,1,1,,,1.21503,1.03746
2014-10-18 14:30:00,5392,123,Werder Bremen,117,Bayern Munich,0,6,,,0,2.49826
2014-10-24 19:30:00,5401,123,Werder Bremen,134,FC Cologne,0,1,,,0.514564,0.519282
2014-11-01 14:30:00,5348,123,Werder Bremen,125,Mainz 05,2,1,,,1.65943,1.19297
2014-11-08 17:30:00,5362,123,Werder Bremen,133,VfB Stuttgart,2,0,,,0.645076,0.774005
2014-11-23 14:30:00,5372,123,Werder Bremen,118,Hamburger SV,0,2,,,1.14769,2.60596
2014-11-29 14:30:00,5379,123,Werder Bremen,205,Paderborn,4,0,,,4.47976,0.839366
2014-12-07 16:30:00,5320,123,Werder Bremen,132,Eintracht Frankfurt,2,5,,,1.44207,3.8335
2014-12-13 14:30:00,5323,123,Werder Bremen,128,Hannover 96,3,3,,,1.84609,1.54036
2014-12-17 19:00:00,5336,123,Werder Bremen,130,Borussia M.Gladbach,1,4,,,0.308689,2.06898
2014-12-20 14:30:00,5341,123,Werder Bremen,129,Borussia Dortmund,2,1,,,2.36795,0.602289
2015-02-01 14:30:00,5260,123,Werder Bremen,122,Hertha Berlin,2,0,,,0.839904,0.0990819
2015-02-04 19:00:00,5270,123,Werder Bremen,120,Hoffenheim,2,1,,,0.576349,1.33156
2015-02-08 14:30:00,5278,123,Werder Bremen,119,Bayer Leverkusen,2,1,,,0.885549,1.74921
2015-02-14 14:30:00,5284,123,Werder Bremen,121,Augsburg,3,2,,,2.62945,0.585109
2015-02-21 14:30:00,5293,123,Werder Bremen,124,Schalke 04,1,1,,,1.38186,1.19124
2015-03-01 16:30:00,5232,123,Werder Bremen,131,Wolfsburg,3,5,,,1.44281,2.5513
2015-03-07 14:30:00,5237,123,Werder Bremen,135,Freiburg,1,0,,,0.649704,0.430875
2015-03-14 14:30:00,5246,123,Werder Bremen,117,Bayern Munich,0,4,,,0.290321,2.18396
2015-03-21 14:30:00,5252,123,Werder Bremen,134,FC Cologne,1,1,,,0.570166,1.76655
2015-04-04 14:30:00,5195,123,Werder Bremen,125,Mainz 05,0,0,,,0.718931,0.92075
2015-04-12 16:30:00,5212,123,Werder Bremen,133,VfB Stuttgart,2,3,,,0.448325,2.35291
2015-04-19 14:30:00,5220,123,Werder Bremen,118,Hamburger SV,1,0,,,1.3478,0.433841
2015-04-26 14:30:00,5229,123,Werder Bremen,205,Paderborn,2,2,,,0.959164,1.96537
2015-05-02 14:30:00,5163,123,Werder Bremen,132,Eintracht Frankfurt,1,0,,,2.86921,1.2158
2015-05-09 14:30:00,5172,123,Werder Bremen,128,Hannover 96,1,1,,,0.490122,1.17255
2015-05-16 14:30:00,5182,123,Werder Bremen,130,Borussia M.Gladbach,0,2,,,1.20572,1.45177
2015-05-23 14:30:00,5193,123,Werder Bremen,129,Borussia Dortmund,2,3,,,0.964946,2.90398
