Dátum,Meccs-Id,Hazai-Id,Hazai Csapat,Ellenfél-Id,Ellenfél,Hazai Gól,Ellenfél Gól,Hazai_PR,Ellenfél_PR,Hazai XG,Ellenfél XG
2014-08-23 14:30:00,5449,128,Hannover 96,124,Schalke 04,2,1,,,1.17979,0.956665
2014-08-31 14:30:00,5463,128,Hannover 96,125,Mainz 05,0,0,,,0.561787,1.0088
2014-09-14 16:30:00,5419,128,Hannover 96,118,Hamburger SV,2,0,,,2.22631,0.976735
2014-09-20 14:30:00,5424,128,Hannover 96,205,Paderborn,0,2,,,0.550873,2.05175
2014-09-24 19:00:00,5436,128,Hannover 96,134,FC Cologne,1,0,,,0.408032,0.695122
2014-09-27 14:30:00,5440,128,Hannover 96,133,VfB Stuttgart,0,1,,,0.853246,0.826395
2014-10-04 14:30:00,5385,128,Hannover 96,117,Bayern Munich,0,4,,,0.443178,2.69879
2014-10-18 14:30:00,5394,128,Hannover 96,130,Borussia M.Gladbach,0,3,,,0.558311,1.61826
2014-10-25 14:30:00,5406,128,Hannover 96,129,Borussia Dortmund,1,0,,,0.695852,1.61946
2014-11-01 14:30:00,5349,128,Hannover 96,132,Eintracht Frankfurt,1,0,,,1.11725,0.353128
2014-11-07 19:30:00,5356,128,Hannover 96,122,Hertha Berlin,2,0,,,1.09164,0.363993
2014-11-22 14:30:00,5369,128,Hannover 96,119,Bayer Leverkusen,1,3,,,0.780087,2.36608
2014-11-29 17:30:00,5380,128,Hannover 96,120,Hoffenheim,3,4,,,1.81072,1.99562
2014-12-06 14:30:00,5314,128,Hannover 96,131,Wolfsburg,1,3,,,1.6788,1.85576
2014-12-13 14:30:00,5323,128,Hannover 96,123,Werder Bremen,3,3,,,1.54036,1.84609
2014-12-16 19:00:00,5330,128,Hannover 96,121,Augsburg,2,0,,,1.33926,0.693534
2014-12-21 16:30:00,5347,128,Hannover 96,135,Freiburg,2,2,,,1.52484,1.28555
2015-01-31 14:30:00,5310,128,Hannover 96,124,Schalke 04,0,1,,,0.91702,1.99671
2015-02-03 19:00:00,5262,128,Hannover 96,125,Mainz 05,1,1,,,1.7109,1.19042
2015-02-07 17:30:00,5277,128,Hannover 96,118,Hamburger SV,1,2,,,2.24545,0.674771
2015-02-15 16:30:00,5288,128,Hannover 96,205,Paderborn,1,2,,,0.858803,0.98493
2015-02-21 17:30:00,5295,128,Hannover 96,134,FC Cologne,1,1,,,0.979608,1.54226
2015-02-28 14:30:00,5302,128,Hannover 96,133,VfB Stuttgart,1,1,,,1.5399,0.742277
2015-03-07 14:30:00,5236,128,Hannover 96,117,Bayern Munich,1,3,,,0.205925,1.33559
2015-03-15 16:30:00,5250,128,Hannover 96,130,Borussia M.Gladbach,0,2,,,0.395038,3.30586
2015-03-21 14:30:00,5254,128,Hannover 96,129,Borussia Dortmund,2,3,,,0.927629,2.31429
2015-04-04 14:30:00,5196,128,Hannover 96,132,Eintracht Frankfurt,2,2,,,1.33074,1.03699
2015-04-10 19:30:00,5204,128,Hannover 96,122,Hertha Berlin,1,1,,,1.67956,0.358149
2015-04-18 14:30:00,5218,128,Hannover 96,119,Bayer Leverkusen,0,4,,,0.326006,2.60733
2015-04-25 14:30:00,5223,128,Hannover 96,120,Hoffenheim,1,2,,,1.30305,1.26477
2015-05-02 14:30:00,5160,128,Hannover 96,131,Wolfsburg,2,2,,,1.41691,1.52891
2015-05-09 14:30:00,5172,128,Hannover 96,123,Werder Bremen,1,1,,,1.17255,0.490122
2015-05-16 14:30:00,5180,128,Hannover 96,121,Augsburg,2,1,,,0.466165,1.03797
2015-05-23 14:30:00,5189,128,Hannover 96,135,Freiburg,2,1,,,0.593454,0.661015
