id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
379853,7,SavedShot,0.7630000305175781,0.6509999847412109,0.016185251995921135,Xavier Chavalerin,h,6883,FromCorner,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,,None
379864,41,SavedShot,0.8669999694824219,0.6969999694824218,0.0426541231572628,Nathanael Mbuku,h,7719,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Xavier Chavalerin,Pass
379866,60,BlockedShot,0.83,0.7330000305175781,0.024634839966893196,Boulaye Dia,h,7224,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Valon Berisha,Pass
379868,61,SavedShot,0.7330000305175781,0.15199999809265136,0.012211909517645836,Nathanael Mbuku,h,7719,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Valon Berisha,Pass
379871,66,MissedShots,0.8180000305175781,0.67,0.031258489936590195,Boulaye Dia,h,7224,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Arbër Zeneli,Pass
379872,69,MissedShots,0.7519999694824219,0.7090000152587891,0.015504972077906132,Arbër Zeneli,h,7397,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Xavier Chavalerin,Pass
379875,83,MissedShots,0.7330000305175781,0.2520000076293945,0.009344018064439297,Valon Berisha,h,7178,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Xavier Chavalerin,Pass
379878,90,MissedShots,0.9169999694824219,0.31,0.057020556181669235,Dereck Kutesa,h,8004,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Boulaye Dia,Pass
379852,5,SavedShot,0.935,0.6370000076293946,0.2983614504337311,Kylian Mbappe-Lottin,a,3423,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Neymar,Pass
379854,8,Goal,0.9019999694824219,0.4,0.3532634675502777,Mauro Icardi,a,1513,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Kylian Mbappe-Lottin,Pass
379855,11,BlockedShot,0.865,0.3609999847412109,0.08501775562763214,Julian Draxler,a,152,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Kylian Mbappe-Lottin,Pass
379856,12,MissedShots,0.9590000152587891,0.6179999923706054,0.031540654599666595,Mauro Icardi,a,1513,FromCorner,2020,Head,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Neymar,Cross
379857,13,MissedShots,0.8180000305175781,0.5270000076293946,0.06411293148994446,Ángel Di María,a,3553,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Mauro Icardi,Pass
379858,14,MissedShots,0.9230000305175782,0.4379999923706055,0.5060467720031738,Ángel Di María,a,3553,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Mauro Icardi,Pass
379859,16,SavedShot,0.9359999847412109,0.4929999923706055,0.4129165709018707,Mauro Icardi,a,1513,FromCorner,2020,Head,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Ángel Di María,Cross
379860,23,MissedShots,0.74,0.40099998474121096,0.02568892017006874,Ángel Di María,a,3553,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Neymar,Pass
379861,35,BlockedShot,0.730999984741211,0.5479999923706055,0.01508605107665062,Leandro Paredes,a,1248,FromCorner,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,,None
379862,35,SavedShot,0.855999984741211,0.6140000152587891,0.042299747467041016,Marquinhos,a,3297,FromCorner,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Mauro Icardi,BallTouch
379863,37,MissedShots,0.7569999694824219,0.615,0.06303468346595764,Neymar,a,2099,DirectFreekick,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,,Standard
379865,42,MissedShots,0.9569999694824218,0.625,0.1256185621023178,Neymar,a,2099,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,,TakeOn
379867,60,MissedShots,0.8969999694824219,0.5820000076293945,0.14893122017383575,Neymar,a,2099,OpenPlay,2020,LeftFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Kylian Mbappe-Lottin,Pass
379869,61,Goal,0.93,0.47200000762939454,0.5708075761795044,Mauro Icardi,a,1513,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Kylian Mbappe-Lottin,Pass
379870,66,SavedShot,0.855999984741211,0.6170000076293946,0.11306771636009216,Kylian Mbappe-Lottin,a,3423,OpenPlay,2020,RightFoot,14223,Reims,Paris Saint Germain,0,2,2020-09-27 19:00:00,Mauro Icardi,Pass
