id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
171314,7,MissedShots,0.6959999847412109,0.56,0.01665426790714264,Víctor Camarasa,h,2390,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Ryad Boudebouz,Pass
171316,15,SavedShot,0.835999984741211,0.6020000076293945,0.28300344944000244,Andrés Guardado,h,6164,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Riza Durmisi,Chipped
171317,16,MissedShots,0.7609999847412109,0.7559999847412109,0.0440499521791935,Joaquín,h,2148,DirectFreekick,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,Standard
171318,24,SavedShot,0.8909999847412109,0.735999984741211,0.03696479648351669,Riza Durmisi,h,5036,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,None
171320,35,MissedShots,0.870999984741211,0.624000015258789,0.10025143623352051,Andrés Guardado,h,6164,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Víctor Camarasa,Pass
171321,36,SavedShot,0.884000015258789,0.27700000762939453,0.3027392327785492,Sergio León,h,5095,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Andrés Guardado,Throughball
171322,37,MissedShots,0.7319999694824219,0.519000015258789,0.019147533923387527,Víctor Camarasa,h,2390,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Joaquín,Pass
171324,44,MissedShots,0.889000015258789,0.5279999923706055,0.07135328650474548,Andrés Guardado,h,6164,OpenPlay,2017,Head,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Joaquín,Cross
171326,50,MissedShots,0.8519999694824218,0.6469999694824219,0.0479905791580677,Andrés Guardado,h,6164,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,None
171333,73,SavedShot,0.8680000305175781,0.5870000076293945,0.054625336080789566,Cristian Tello,h,1421,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,TakeOn
171334,84,Goal,0.805,0.45099998474121095,0.137502983212471,Andrés Guardado,h,6164,DirectFreekick,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,Standard
171337,94,Goal,0.8669999694824219,0.44299999237060544,0.09516569972038269,Cristian Tello,h,1421,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Riza Durmisi,TakeOn
171313,2,SavedShot,0.7280000305175781,0.74,0.01062978245317936,Cristhian Stuani,a,1709,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Borja,HeadPass
171315,10,SavedShot,0.95,0.33099998474121095,0.0637715607881546,Portu,a,6118,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Pablo Maffeo,TakeOn
171319,33,MissedShots,0.9269999694824219,0.48700000762939455,0.1429736614227295,Cristhian Stuani,a,1709,OpenPlay,2017,Head,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Pablo Maffeo,Cross
171323,39,MissedShots,0.7959999847412109,0.24399999618530274,0.010345377959311008,Pablo Maffeo,a,1003,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,Aerial
171325,45,Goal,0.86,0.5220000076293946,0.3560146391391754,Portu,a,6118,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Borja,Throughball
171327,51,SavedShot,0.7969999694824219,0.23100000381469726,0.024905279278755188,Cristhian Stuani,a,1709,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Pablo Maffeo,Pass
171328,61,SavedShot,0.86,0.7019999694824218,0.050689149647951126,Aday Benítez,a,6115,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Álex Granell,Chipped
171329,61,SavedShot,0.8580000305175781,0.2670000076293945,0.03538849949836731,Pablo Maffeo,a,1003,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,Rebound
171330,61,MissedShots,0.8069999694824219,0.4929999923706055,0.05866687372326851,Aday Benítez,a,6115,OpenPlay,2017,RightFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,Rebound
171331,67,MissedShots,0.915,0.7119999694824218,0.052951879799366,Johan Mojica,a,6242,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Borja,Pass
171332,69,MissedShots,0.6859999847412109,0.8230000305175781,0.008268398232758045,Álex Granell,a,6116,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,None
171335,91,MissedShots,0.9590000152587891,0.36900001525878906,0.026699285954236984,Pablo Maffeo,a,1003,OpenPlay,2017,Head,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,Johan Mojica,Cross
171336,93,Goal,0.970999984741211,0.445,0.6036652326583862,Portu,a,6118,OpenPlay,2017,LeftFoot,8001,Real Betis,Girona,2,2,2017-11-25 17:30:00,,None
